entity_id,safe_id,name,name_en,description_len,release_tier,concept_kind,degree,coverage_role,batch,cardable,card_status,infograph_status
ctc:v11g-13a9994c50acce777819aa2a,ctc_v11g-13a9994c50acce777819aa2a,闭环极点,closed_loop_poles,23,gold,mathematical_object,5,formal_objective,A,True,ok,accepted
ctc:v11g-a3d09e397d88f3ae13bc9d89,ctc_v11g-a3d09e397d88f3ae13bc9d89,参数根轨迹,parameter_root_locus,49,gold,representation_kind,4,formal_objective,A,True,ok,accepted
ctc:v11g-97c34f1eca6199404a4ccf79,ctc_v11g-97c34f1eca6199404a4ccf79,反应曲线,reaction_curve,188,gold,representation_kind,3,explicit_extension,A,True,ok,accepted
ctc:v11g-b6a581c8f216ccd9cdccb66a,ctc_v11g-b6a581c8f216ccd9cdccb66a,反应曲线参数,reaction_curve_parameters,165,gold,mathematical_object,3,explicit_extension,A,True,ok,accepted
ctc:v11g-d20816e0005b7c325c7f4477,ctc_v11g-d20816e0005b7c325c7f4477,等效开环传递函数,equivalent_open_loop_transfer_function,32,gold,representation_kind,3,formal_objective,A,True,ok,accepted
ctc:90af7a0497e616bbe6249c30,ctc_90af7a0497e616bbe6249c30,在时间域描述系统动态性能的数学…,v5c_differential_equation_model_targeted,27,gold,representation_kind,2,formal_objective,A,True,ok,accepted
ctc:c782502fe412ef828c662650,ctc_c782502fe412ef828c662650,合同明确要求 composit…,v5c_closed_loop_transfer_function_companion,209,gold,representation_kind,2,formal_objective,A,True,ok,accepted
ctc:v11g-2d0a8b878047bb6a5effc783,ctc_v11g-2d0a8b878047bb6a5effc783,在绘制参数根轨迹之前引入的概念,equivalent_unity_feedback_system,43,gold,system_kind,2,formal_objective,A,True,ok,accepted
ctc:v11g-713ffa8d5c112a3c2dc1569e,ctc_v11g-713ffa8d5c112a3c2dc1569e,常规根轨迹,conventional_gain_root_locus,30,gold,representation_kind,2,formal_objective,A,True,ok,accepted
ctc:v11g-95859dcad651c20058bf8726,ctc_v11g-95859dcad651c20058bf8726,开环零点,open_loop_zeros,21,gold,mathematical_object,2,formal_objective,A,True,ok,accepted
ctc:v11g-bde559972a3c77718ce84d2e,ctc_v11g-bde559972a3c77718ce84d2e,广义根轨迹,generalized_root_locus,47,gold,representation_kind,2,formal_objective,A,True,ok,accepted
ctc:modeling-1b36aff609b370e792d9dee6,ctc_modeling-1b36aff609b370e792d9dee6,The concept that analogous,modeling_1b36aff609b370e792d9dee6,176,silver,theoretical_construct,1,necessary_prerequisite,A,True,ok,accepted
ctc:modeling-2326548c33d3005ed44b3f18,ctc_modeling-2326548c33d3005ed44b3f18,variable that is measured,modeling_2326548c33d3005ed44b3f18,174,silver,theoretical_construct,1,necessary_prerequisite,A,True,ok,accepted
