group,label,re,im
a0.0,a0.0_1,-2.146118311995,0.000000000000
a0.0,a0.0_2,-0.048815844002,0.049627209431
a0.0,a0.0_3,-0.048815844002,-0.049627209431
a0.2,a0.2_1,-1.275613812313,0.000000000000
a0.2,a0.2_2,-0.047943390404,0.050368528000
a0.2,a0.2_3,-0.047943390404,-0.050368528000
a0.5,a0.5_1,-0.796499579393,0.000000000000
a0.5,a0.5_2,-0.046547632035,0.051404898828
a0.5,a0.5_3,-0.046547632035,-0.051404898828
a1.0,a1.0_1,-0.495875308554,0.000000000000
a1.0,a1.0_2,-0.044020585001,0.052880938075
a1.0,a1.0_3,-0.044020585001,-0.052880938075
