t,before,after
0,0,0
0.04674457429,6.557155375e-05,0.00257139187
0.09348914858,0.000505299844,0.01008356116
0.1402337229,0.001643191007,0.0222352329
0.1869782972,0.00375389191,0.03872776654
0.2337228715,0.007067940405,0.05926556178
0.2804674457,0.01177640229,0.08355646624
0.32721202,0.01803497383,0.1113121825
0.3739565943,0.0259676187,0.1422486716
0.4207011686,0.03566979929,0.176086552
0.4674457429,0.04721135459,0.2125514893
0.5141903172,0.06063907043,0.2513745778
0.5609348915,0.07597898141,0.2922927097
0.6076794658,0.09323843925,0.335048931
0.6544240401,0.1124079774,0.3793927831
0.7011686144,0.1334629982,0.4250806277
0.7479131886,0.1563653044,0.4718759539
0.7946577629,0.1810644961,0.5195496676
0.8414023372,0.2074992484,0.5678803599
0.8881469115,0.2355984856,0.6166545562
0.9348914858,0.2652824639,0.6656669426
0.9816360601,0.2964637742,0.7147205717
1.028380634,0.3290482732,0.7636270448
1.075125209,0.3629359526,0.8122066717
1.121869783,0.3980217514,0.8602886075
1.168614357,0.4341963185,0.9077109659
1.215358932,0.4713467301,0.9543209087
1.262103506,0.5093571663,0.9999747127
1.30884808,0.5481095498,1.044537813
1.355592654,0.5874841514,1.087884822
1.402337229,0.6273601628,1.129899529
1.449081803,0.6676162404,1.170474873
1.495826377,0.7081310205,1.2095129
1.542570952,0.7487836091,1.246924689
1.589315526,0.7894540453,1.282630266
1.6360601,0.8300237415,1.316558499
1.682804674,0.8703758991,1.348646961
1.729549249,0.9103959021,1.378841791
1.776293823,0.949971688,1.407097525
1.823038397,0.9889940966,1.433376914
1.869782972,1.027357197,1.457650728
1.916527546,1.064958594,1.479897542
1.96327212,1.101699712,1.500103507
2.010016694,1.137486059,1.518262113
2.056761269,1.172227469,1.534373933
2.103505843,1.205838324,1.54844636
2.150250417,1.238237755,1.560493333
2.196994992,1.269349821,1.570535052
2.243739566,1.299103673,1.578597689
2.29048414,1.327433692,1.584713087
2.337228715,1.354279606,1.588918455
2.383973289,1.379586598,1.59125606
2.430717863,1.403305377,1.591772912
2.477462437,1.425392248,1.590520444
2.524207012,1.445809149,1.587554197
2.570951586,1.464523676,1.582933498
2.61769616,1.48150909,1.576721139
2.664440735,1.496744301,1.568983056
2.711185309,1.510213843,1.559788014
2.757929883,1.521907823,1.549207287
2.804674457,1.531821858,1.53731435
2.851419032,1.539956997,1.524184566
2.898163606,1.546319626,1.509894885
2.94490818,1.550921358,1.494523546
2.991652755,1.553778909,1.478149783
3.038397329,1.554913961,1.460853545
3.085141903,1.554353011,1.44271521
3.131886477,1.552127211,1.423815325
3.178631052,1.548272193,1.40423434
3.225375626,1.542827884,1.384052356
3.2721202,1.535838314,1.363348886
3.318864775,1.52735141,1.342202621
3.365609349,1.517418785,1.320691208
3.412353923,1.506095522,1.298891039
3.459098497,1.493439943,1.276877053
3.505843072,1.479513382,1.254722543
3.552587646,1.464379944,1.232498982
3.59933222,1.448106265,1.210275856
3.646076795,1.43076127,1.188120505
3.692821369,1.412415919,1.16609799
3.739565943,1.393142965,1.144270952
3.786310518,1.373016699,1.122699499
3.833055092,1.3521127,1.101441096
3.879799666,1.330507584,1.080550473
3.92654424,1.308278758,1.060079535
3.973288815,1.285504167,1.040077294
4.020033389,1.262262055,1.020589809
4.066777963,1.238630719,1.00166013
4.113522538,1.214688276,0.9833282659
4.160267112,1.190512428,0.965631152
4.207011686,1.166180232,0.9486026334
4.25375626,1.141767885,0.9322734574
4.300500835,1.117350502,0.9166712754
4.347245409,1.093001914,0.901820655
4.393989983,1.068794461,0.8877431005
4.440734558,1.044798805,0.874457083
4.487479132,1.021083743,0.8619780785
4.534223706,0.9977160321,0.8503186139
4.58096828,0.9747602231,0.8394883214
4.627712855,0.952278504,0.829493999
4.674457429,0.9303305529,0.8203396791
4.721202003,0.9089734017,0.8120267026
4.767946578,0.8882613094,0.8045537989
4.814691152,0.8682456467,0.7979171723
4.861435726,0.8489747903,0.7921105927
4.908180301,0.8304940293,0.7871254908
4.954924875,0.8128454817,0.7829510584
5.001669449,0.7960680221,0.7795743514
5.048414023,0.7801972208,0.7769803969
5.095158598,0.7652652932,0.7751523026
5.141903172,0.7513010612,0.7740713694
5.188647746,0.7383299245,0.7737172046
5.235392321,0.7263738435,0.7740678389
5.282136895,0.7154513324,0.775099842
5.328881469,0.7055774634,0.7767884416
5.375626043,0.6967638804,0.7791076403
5.422370618,0.6890188232,0.7820303349
5.469115192,0.6823471622,0.7855284336
5.515859766,0.6767504417,0.789572973
5.562604341,0.6722269326,0.7941342351
5.609348915,0.668771695,0.799181861
5.656093489,0.6663766484,0.8046849649
5.702838063,0.6650306505,0.8106122449
5.749582638,0.664719584,0.816932092
5.796327212,0.6654264508,0.8236126965
5.843071786,0.6671314733,0.8306221518
5.889816361,0.6698122024,0.8379285553
5.936560935,0.6734436311,0.8455001055
5.983305509,0.6779983151,0.8533051964
6.030050083,0.6834464974,0.8613125085
6.076794658,0.6897562384,0.8694910946
6.123539232,0.6968935501,0.8778104639
6.170283806,0.7048225344,0.8862406601
6.217028381,0.7135055247,0.8947523367
6.263772955,0.7229032298,0.9033168274
6.310517529,0.7329748814,0.9119062122
6.357262104,0.7436783824,0.9204933796
6.404006678,0.754970457,0.9290520838
6.450751252,0.7668068022,0.9375569977
6.497495826,0.779142239,0.9459837617
6.544240401,0.7919308642,0.9543090271
6.590984975,0.8051262018,0.9625104961
6.637729549,0.8186813528,0.9705669567
6.684474124,0.8325491446,0.9784583131
6.731218698,0.8466822778,0.9861656124
6.777963272,0.8610334717,0.9936710658
6.824707846,0.8755556065,1.000958067
6.871452421,0.8902018628,1.008011204
6.918196995,0.9049258577,1.014816272
6.964941569,0.9196817777,1.021360274
7.011686144,0.9344245068,1.027631426
7.058430718,0.9491097507,1.033619153
7.105175292,0.9636941566,1.039314085
7.151919866,0.9781354275,1.044708043
7.198664441,0.9923924318,1.049794033
7.245409015,1.006425307,1.054566224
7.292153589,1.020195559,1.059019932
7.338898164,1.033666154,1.063151598
7.385642738,1.046801604,1.066958761
7.432387312,1.059568049,1.070440034
7.479131886,1.07193333,1.073595073
7.525876461,1.083867058,1.076424543
7.572621035,1.095340672,1.078930088
7.619365609,1.106327497,1.081114289
7.666110184,1.116802789,1.082980633
7.712854758,1.126743781,1.084533472
7.759599332,1.136129709,1.085777976
7.806343907,1.144941851,1.086720101
7.853088481,1.153163537,1.087366538
7.899833055,1.160780173,1.087724674
7.946577629,1.167779242,1.087802545
7.993322204,1.174150312,1.087608791
8.040066778,1.179885027,1.087152612
8.086811352,1.184977097,1.086443718
8.133555927,1.189422282,1.08549229
8.180300501,1.193218371,1.084308926
8.227045075,1.196365149,1.082904602
8.273789649,1.198864366,1.081290622
8.320534224,1.2007197,1.079478574
8.367278798,1.201936706,1.077480288
8.414023372,1.202522772,1.075307788
8.460767947,1.202487065,1.072973252
8.507512521,1.201840469,1.070488969
8.554257095,1.200595524,1.067867297
8.601001669,1.198766362,1.065120624
8.647746244,1.19636863,1.062261329
8.694490818,1.193419426,1.059301744
8.741235392,1.189937214,1.056254118
8.787979967,1.185941748,1.05313058
8.834724541,1.181453991,1.049943109
8.881469115,1.176496027,1.046703501
8.928213689,1.171090979,1.043423337
8.974958264,1.16526292,1.040113957
9.021702838,1.159036782,1.036786428
9.068447412,1.152438266,1.033451526
9.115191987,1.145493756,1.030119707
9.161936561,1.138230219,1.026801084
9.208681135,1.130675121,1.023505413
9.25542571,1.122856331,1.020242067
9.302170284,1.114802033,1.017020026
9.348914858,1.106540633,1.013847858
9.395659432,1.098100668,1.010733705
9.442404007,1.089510723,1.007685276
9.489148581,1.080799338,1.004709833
9.535893155,1.071994927,1.001814183
9.58263773,1.063125691,0.9990046765
9.629382304,1.054219539,0.9962871949
9.676126878,1.045304007,0.9936671534
9.722871452,1.036406182,0.9911494963
9.769616027,1.027552628,0.9887386977
9.816360601,1.018769317,0.9864387626
9.863105175,1.010081556,0.9842532291
9.90984975,1.001513925,0.9821851726
9.956594324,0.9930902175,0.9802372111
10.0033389,0.9848333776,0.9784115116
10.05008347,0.976765449,0.9767097978
10.09682805,0.9689075224,0.9751333585
10.14357262,0.9612796889,0.973683058
10.1903172,0.9539009964,0.9723593464
10.23706177,0.9467894103,0.9711622718
10.28380634,0.9399617781,0.9700914924
10.33055092,0.9334337975,0.9691462901
10.37729549,0.9272199894,0.9683255849
10.42404007,0.9213336742,0.9676279493
10.47078464,0.9157869522,0.9670516236
10.51752922,0.9105906888,0.9665945323
10.56427379,0.9057545022,0.9662543001
10.61101836,0.9012867569,0.9660282687
10.65776294,0.8971945595,0.9659135141
10.70450751,0.8934837594,0.9659068636
10.75125209,0.8901589527,0.966004914
10.79799666,0.8872234903,0.9662040486
10.84474124,0.884679489,0.9665004557
10.89148581,0.8825278469,0.9668901461
10.93823038,0.8807682614,0.9673689711
10.98497496,0.8793992514,0.96793264
11.03171953,0.8784181817,0.9685767382
11.07846411,0.8778212914,0.9692967443
11.12520868,0.8776037244,0.9700880474
11.17195326,0.8777595633,0.9709459641
11.21869783,0.8782818656,0.9718657554
11.2654424,0.8791627024,0.9728426425
11.31218698,0.8803931993,0.9738718229
11.35893155,0.88196358,0.9749484863
11.40567613,0.8838632111,0.9760678288
11.4524207,0.8860806491,0.9772250681
11.49916528,0.8886036891,0.9784154571
11.54590985,0.8914194148,0.9796342974
11.59265442,0.8945142499,0.9808769525
11.639399,0.8978740106,0.9821388594
11.68614357,0.9014839587,0.9834155408
11.73288815,0.905328856,0.9847026158
11.77963272,0.9093930186,0.9859958105
11.8263773,0.9136603727,0.9872909677
11.87312187,0.9181145091,0.9885840556
11.91986644,0.922738739,0.9898711766
11.96661102,0.9275161494,0.9911485749
12.01335559,0.9324296574,0.9924126432
12.06010017,0.9374620656,0.9936599295
12.10684474,0.9425961154,0.9948871426
12.15358932,0.9478145403,0.9960911569
12.20033389,0.9531001184,0.997269017
12.24707846,0.9584357234,0.9984179413
12.29382304,0.9638043748,0.999535325
12.34056761,0.9691892866,1.000618742
12.38731219,0.9745739145,1.001665948
12.43405676,0.979942002,1.00267488
12.48080134,0.9852776243,1.003643659
12.52754591,0.9905652305,1.004570586
12.57429048,0.9957896843,1.005454146
12.62103506,1.000936303,1.006293005
12.66777963,1.005990892,1.007086008
12.71452421,1.010939782,1.007832176
12.76126878,1.015769859,1.008530705
12.80801336,1.020468597,1.009180965
12.85475793,1.02502408,1.00978249
12.9015025,1.029425036,1.010334981
12.94824708,1.03366085,1.010838298
12.99499165,1.037721594,1.011292454
13.04173623,1.041598037,1.011697615
13.0884808,1.045281669,1.012054092
13.13522538,1.048764705,1.012362333
13.18196995,1.052040105,1.012622922
13.22871452,1.055101574,1.012836569
13.2754591,1.057943576,1.013004107
13.32220367,1.060561332,1.013126481
13.36894825,1.062950821,1.013204748
13.41569282,1.065108786,1.013240064
13.4624374,1.067032721,1.013233682
13.50918197,1.068720872,1.013186942
13.55592654,1.070172228,1.013101266
13.60267112,1.071386509,1.012978148
13.64941569,1.072364159,1.012819153
13.69616027,1.073106325,1.012625904
13.74290484,1.073614848,1.012400079
13.78964942,1.073892241,1.0121434
13.83639399,1.073941672,1.011857633
13.88313856,1.073766945,1.011544574
13.92988314,1.07337247,1.011206047
13.97662771,1.072763249,1.010843896
14.02337229,1.071944843,1.01045998
14.07011686,1.070923349,1.010056165
14.11686144,1.069705372,1.009634318
14.16360601,1.068297996,1.009196303
14.21035058,1.066708754,1.008743975
14.25709516,1.064945597,1.008279175
14.30383973,1.063016865,1.00780372
14.35058431,1.060931251,1.007319407
14.39732888,1.058697774,1.006827999
14.44407346,1.056325742,1.006331229
14.49081803,1.053824718,1.005830787
14.5375626,1.051204493,1.005328325
14.58430718,1.048475045,1.004825446
14.63105175,1.04564651,1.004323705
14.67779633,1.042729147,1.003824604
14.7245409,1.039733308,1.003329588
14.77128548,1.036669398,1.002840045
14.81803005,1.033547851,1.002357303
14.86477462,1.030379093,1.001882626
14.9115192,1.027173511,1.001417213
14.95826377,1.023941426,1.000962197
15.00500835,1.020693056,1.000518643
15.05175292,1.017438495,1.000087548
