sample_idx,gain,re,im
1,0,-1,0
2,0.001,-1.001,0
3,0.00105479004707,-1.00105479005,0
4,0.0011125820434,-1.00111258204,0
5,0.00117354046592,-1.00117354047,0
6,0.00123783880329,-1.0012378388,0
7,0.00130566004958,-1.00130566005,0
8,0.00137719722516,-1.00137719723,0
9,0.00145265392595,-1.00145265393,0
10,0.00153224490292,-1.0015322449,0
11,0.00161619667328,-1.00161619667,0
12,0.00170474816508,-1.00170474817,0
13,0.00179815139729,-1.0017981514,0
14,0.00189667219698,-1.0018966722,0
15,0.00200059095593,-1.00200059096,0
16,0.00211020342857,-1.00211020343,0
17,0.00222582157375,-1.00222582157,0
18,0.00234777444254,-1.00234777444,0
19,0.00247640911475,-1.00247640911,0
20,0.00261209168671,-1.00261209169,0
21,0.00275520831318,-1.00275520831,0
22,0.00290616630634,-1.00290616631,0
23,0.00306539529506,-1.0030653953,0
24,0.00323334844756,-1.00323334845,0
25,0.00341050376119,-1.00341050376,0
26,0.0035973654228,-1.00359736542,0
27,0.00379446524364,-1.00379446524,0
28,0.00400236417294,-1.00400236417,0
29,0.00422165389436,-1.00422165389,0
30,0.00445295850994,-1.00445295851,0
31,0.0046969363163,-1.00469693632,0
32,0.00495428167815,-1.00495428168,0
33,0.00522572700449,-1.005225727,0
34,0.00551204483304,-1.00551204483,0
35,0.00581405002889,-1.00581405003,0
36,0.00613260210363,-1.0061326021,0
37,0.00646860766155,-1.00646860766,0
38,0.00682302297979,-1.00682302298,0
39,0.00719685673001,-1.00719685673,0
40,0.007591172849,-1.00759117285,0
41,0.00800709356671,-1.00800709357,0
42,0.00844580260011,-1.0084458026,0
43,0.00890854852211,-1.00890854852,0
44,0.00939664831495,-1.00939664831,0
45,0.00991149111842,-1.00991149112,0
46,0.0104545421833,-1.01045454218,0
47,0.0110273470416,-1.01102734704,0
48,0.0116315359051,-1.01163153591,0
49,0.0122688283048,-1.0122688283,0
50,0.0129410379851,-1.01294103799,0
51,0.0136500780655,-1.01365007807,0
52,0.0143979664852,-1.01439796649,0
53,0.0151868317466,-1.01518683175,0
54,0.0160189189728,-1.01601891897,0
55,0.0168965962973,-1.0168965963,0
