t,base,lag,pi,lead,lead_lag
0,0,0,0,0,0
0.2602602603,4.378432056e-05,4.378432049e-05,4.378443769e-05,4.378407794e-05,4.378422665e-05
0.5205205205,0.0003075088743,0.0003075088669,0.0003075152864,0.0003074957355,0.0003075037979
0.7807807808,0.0009196216684,0.0009196215576,0.0009196845697,0.0009194942077,0.0009195725133
1.041041041,0.001947695149,0.001947694417,0.001948001484,0.001947081491,0.001947458959
1.301301301,0.003424411634,0.003424408544,0.003425430644,0.003422394259,0.003423636784
1.561561562,0.005362413384,0.005362403531,0.005365081719,0.005357194233,0.005360413147
1.821821822,0.007762793262,0.007762767356,0.007768725127,0.007751333342,0.007758411299
2.082082082,0.01061995349,0.01061989429,0.01063166355,0.01059761434,0.01061143202
2.342342342,0.01392439012,0.01392426849,0.01394551992,0.0138845966,0.01390924836
2.602602603,0.01766429283,0.0176640629,0.01769983421,0.0175982298,0.01763922054
2.862862863,0.02182646791,0.02182606146,0.02188297895,0.0217228184,0.02178723691
3.123123123,0.02639687477,0.02639619467,0.02648268545,0.02624160322,0.02633826965
3.383383383,0.03136094136,0.03135985433,0.03148634705,0.03113712337,0.03127670993
3.643643644,0.03670375339,0.03670208201,0.03688119514,0.03639145146,0.03658657634
3.903903904,0.04241017113,0.04240768519,0.04265440214,0.04198635507,0.04225165036
4.164164164,0.04846490483,0.04846131204,0.04879314275,0.04790341456,0.04825556939
4.424424424,0.05485256622,0.05484750242,0.05528463125,0.05412411465,0.05458189479
4.684684685,0.06155770622,0.06155072505,0.06211614505,0.06062991941,0.06121416491
4.944944945,0.06856484458,0.06855540672,0.06927504026,0.06740233635,0.06813593883
5.205205205,0.0758584947,0.07584595678,0.07674876274,0.07442297296,0.07533083404
5.465465465,0.08342318553,0.08340678867,0.08452485629,0.08167358734,0.08278256
5.725725726,0.09124348157,0.09122233969,0.09259096941,0.08913613429,0.09047494853
5.985985986,0.09930400155,0.09927708944,0.1009348609,0.09679280732,0.09839198184
6.246246246,0.1075894363,0.1075555775,0.1095444049,0.1046260771,0.1065178184
6.506506507,0.1160845655,0.1160424205,0.1184075956,0.1126187267,0.1148368169
6.766766767,0.1247742745,0.1247223279,0.1275125513,0.1207538835,0.1233335587
7.027027027,0.1336435697,0.1335801186,0.1368475188,0.1290150482,0.1319928688
7.287287287,0.1426775938,0.1426007353,0.1464008767,0.1373861214,0.1407998343
7.547547548,0.1518616406,0.15176926,0.1561611396,0.1458514267,0.1497398228
7.807807808,0.1611811691,0.161070928,0.1661169613,0.1543957321,0.1587984985
8.068068068,0.1706218171,0.1704911414,0.1762571381,0.1630042679,0.1679618368
8.328328328,0.1801694141,0.1800154829,0.1865706119,0.1716627432,0.1772161384
8.588588589,0.1898099938,0.1896297283,0.1970464735,0.1803573596,0.186548041
8.848848849,0.1995298064,0.1993198585,0.207673965,0.1890748224,0.1959445305
9.109109109,0.2093153296,0.2090720721,0.2184424829,0.1978023503,0.205392951
9.369369369,0.2191532797,0.2188727958,0.2293415805,0.2065276829,0.2148810131
9.62962963,0.229030622,0.2287086956,0.2403609702,0.2152390862,0.2243968015
9.88988989,0.2389345803,0.2385666871,0.2514905258,0.2239253565,0.2339287813
10.15015015,0.2488526465,0.248433945,0.262720285,0.2325758221,0.2434658035
10.41041041,0.2587725892,0.2582979128,0.2740404507,0.2411803443,0.2529971092
10.67067067,0.2686824618,0.2681463109,0.2854413936,0.249729316,0.262512333
10.93093093,0.2785706102,0.2779671452,0.2969136532,0.2582136592,0.2720015054
11.19119119,0.28842568,0.287748715,0.3084479399,0.2666248216,0.2814550543
11.45145145,0.2982366228,0.2974796197,0.3200351365,0.2749547713,0.2908638057
11.71171171,0.3079927026,0.3071487659,0.3316662989,0.2831959905,0.3002189839
11.97197197,0.3176835015,0.3167453736,0.3433326581,0.2913414687,0.3095122101
12.23223223,0.327298924,0.3262589815,0.3550256206,0.2993846942,0.3187355012
12.49249249,0.3368292024,0.3356794529,0.36673677,0.3073196451,0.3278812675
12.75275275,0.3462649002,0.3449969798,0.3784578671,0.3151407792,0.3369423094
13.01301301,0.3555969159,0.3542020876,0.3901808512,0.3228430236,0.3459118143
13.27327327,0.3648164863,0.3632856384,0.4018978407,0.3304217633,0.3547833522
13.53353353,0.3739151884,0.3722388349,0.413601133,0.337872829,0.3635508713
13.79379379,0.3828849423,0.3810532227,0.4252832055,0.345192485,0.3722086925
14.05405405,0.3917180124,0.3897206931,0.4369367157,0.352377416,0.3807515037
14.31431431,0.4004070084,0.3982334847,0.4485545011,0.3594247139,0.3891743544
14.57457457,0.4089448868,0.4065841851,0.4601295796,0.366331864,0.3974726485
14.83483483,0.4173249504,0.4147657318,0.4716551494,0.3730967311,0.4056421376
15.0950951,0.4255408487,0.4227714129,0.4831245885,0.3797175451,0.413678914
15.35535536,0.4335865771,0.4305948674,0.494531455,0.386192887,0.4215794033
15.61561562,0.4414564764,0.4382300848,0.5058694862,0.3925216742,0.429340356
15.87587588,0.449145231,0.4456714047,0.5171325989,0.3987031455,0.4369588402
16.13613614,0.4566478675,0.4529135155,0.5283148879,0.4047368473,0.444432233
16.3963964,0.4639597524,0.4599514535,0.5394106263,0.4106226182,0.4517582118
16.65665666,0.4710765901,0.4667806005,0.5504142643,0.4163605747,0.4589347461
16.91691692,0.4779944197,0.4733966824,0.5613204285,0.4219510968,0.4659600884
17.17717718,0.484709612,0.4797957661,0.5721239212,0.4273948136,0.4728327654
17.43743744,0.4912188662,0.4859742572,0.5828197193,0.4326925887,0.4795515691
