w,base,lag,pi,lead,lead_lag
0.001,-90.59966559,-97.60431283,-174.5111374,-90.11307334,-95.0268367
0.001017904722,-90.61040173,-97.73483865,-174.4137009,-90.11509867,-95.11266291
0.001036130023,-90.62133007,-97.86740533,-174.3145653,-90.11716031,-95.19980564
0.001054681644,-90.63245403,-98.00203426,-174.2137026,-90.11925891,-95.28827717
0.001073565425,-90.64377712,-98.13874645,-174.1110846,-90.12139513,-95.37808943
0.001092787316,-90.6553029,-98.27756252,-174.0066824,-90.12356965,-95.46925401
0.001112353369,-90.667035,-98.41850266,-173.900467,-90.12578315,-95.56178209
0.001132269747,-90.67897711,-98.56158659,-173.792409,-90.12803635,-95.65568442
0.001152542722,-90.69113298,-98.70683348,-173.6824785,-90.13032995,-95.75097129
0.00117317868,-90.70350645,-98.85426194,-173.5706453,-90.13266467,-95.84765248
0.001194184118,-90.71610141,-99.00388997,-173.4568789,-90.13504127,-95.94573725
0.001215565653,-90.72892181,-99.15573489,-173.3411484,-90.13746048,-96.04523426
0.001237330018,-90.74197169,-99.3098133,-173.2234224,-90.13992309,-96.14615157
0.001259484068,-90.75525515,-99.46614101,-173.1036694,-90.14242986,-96.24849657
0.00128203478,-90.76877638,-99.62473302,-172.9818574,-90.1449816,-96.35227594
0.001304989257,-90.78253963,-99.78560339,-172.8579541,-90.14757911,-96.45749561
0.001328354727,-90.79654923,-99.94876527,-172.7319267,-90.15022322,-96.5641607
0.001352138549,-90.81080957,-100.1142308,-172.6037423,-90.15291477,-96.67227549
0.001376348214,-90.82532516,-100.2820109,-172.4733676,-90.15565461,-96.78184336
0.001400991347,-90.84010054,-100.4521155,-172.3407688,-90.15844361,-96.89286671
0.001426075707,-90.85514038,-100.6245532,-172.2059121,-90.16128267,-97.00534695
0.001451609197,-90.87044939,-100.7993314,-172.0687632,-90.16417267,-97.11928442
0.001477599856,-90.8860324,-100.976456,-171.9292875,-90.16711454,-97.23467834
0.001504055871,-90.9018943,-101.1559315,-171.7874501,-90.17010922,-97.35152673
0.001530985573,-90.91804008,-101.3377609,-171.6432159,-90.17315765,-97.46982636
0.001558397444,-90.93447481,-101.5219456,-171.4965497,-90.17626081,-97.5895727
0.001586300118,-90.95120366,-101.7084852,-171.3474156,-90.17941969,-97.71075985
0.001614702381,-90.9682319,-101.8973776,-171.1957779,-90.18263529,-97.83338045
0.001643613178,-90.98556486,-102.0886188,-171.0416006,-90.18590863,-97.95742565
0.001673041615,-91.00320801,-102.282203,-170.8848473,-90.18924076,-98.08288502
0.00170299696,-91.02116688,-102.478122,-170.7254815,-90.19263275,-98.20974647
0.001733488648,-91.03944712,-102.6763659,-170.5634668,-90.19608567,-98.33799621
0.00176452628,-91.05805448,-102.8769222,-170.3987663,-90.19960062,-98.46761864
0.001796119633,-91.07699479,-103.0797762,-170.2313431,-90.20317873,-98.59859632
0.001828278656,-91.09627401,-103.2849109,-170.0611603,-90.20682115,-98.73090986
0.001861013477,-91.1158982,-103.4923067,-169.8881809,-90.21052903,-98.86453788
0.001894334407,-91.13587353,-103.7019413,-169.7123678,-90.21430356,-98.9994569
0.001928251938,-91.15620625,-103.91379,-169.5336838,-90.21814595,-99.13564129
0.001962776753,-91.17690277,-104.1278248,-169.352092,-90.22205742,-99.27306321
0.001997919725,-91.19796958,-104.3440153,-169.1675553,-90.22603924,-99.4116925
0.002033691923,-91.21941329,-104.5623279,-168.9800366,-90.23009268,-99.55149663
0.002070104612,-91.24124064,-104.7827259,-168.7894993,-90.23421904,-99.69244065
0.00210716926,-91.26345848,-105.0051695,-168.5959066,-90.23841963,-99.83448709
0.00214489754,-91.28607379,-105.2296156,-168.3992219,-90.24269582,-99.97759588
0.002183301334,-91.30909365,-105.4560178,-168.1994092,-90.24704898,-100.1217243
0.002222392738,-91.3325253,-105.6843263,-167.9964323,-90.2514805,-100.2668271
0.002262184062,-91.35637609,-105.9144878,-167.7902556,-90.25599181,-100.4128559
0.002302687839,-91.3806535,-106.1464453,-167.5808438,-90.26058437,-100.5597599
0.002343916825,-91.40536515,-106.3801383,-167.3681621,-90.26525965,-100.7074852
0.002385884005,-91.43051878,-106.6155024,-167.152176,-90.27001917,-100.855975
0.002428602595,-91.45612229,-106.8524698,-166.9328517,-90.27486446,-101.0051696
0.00247208605,-91.4821837,-107.0909684,-166.7101558,-90.27979708,-101.1550062
0.002516348063,-91.50871118,-107.3309225,-166.4840557,-90.28481864,-101.3054192
0.002561402576,-91.53571305,-107.5722526,-166.2545195,-90.28993075,-101.4563396
0.002607263778,-91.56319777,-107.8148748,-166.021516,-90.29513507,-101.6076957
0.002653946111,-91.59117396,-108.0587018,-165.7850148,-90.3004333,-101.7594124
0.002701464279,-91.61965036,-108.3036418,-165.5449866,-90.30582716,-101.9114116
0.002749833246,-91.64863592,-108.5495993,-165.3014028,-90.31131839,-102.0636123
0.002799068246,-91.67813969,-108.7964747,-165.054236,-90.31690878,-102.2159301
0.002849184786,-91.70817093,-109.0441645,-164.80346,-90.32260016,-102.3682779
0.002900198647,-91.73873902,-109.2925612,-164.5490497,-90.32839438,-102.5205652
0.002952125898,-91.76985354,-109.5415533,-164.2909813,-90.33429334,-102.6726989
0.003004982892,-91.80152422,-109.7910255,-164.0292324,-90.34029896,-102.8245828
0.003058786276,-91.83376098,-110.0408587,-163.7637822,-90.34641321,-102.9761177
0.003113552994,-91.86657388,-110.2909301,-163.4946112,-90.3526381,-103.127202
0.003169300296,-91.89997318,-110.5411132,-163.2217016,-90.35897567,-103.277731
0.003226045737,-91.93396934,-110.791278,-162.9450377,-90.365428,-103.4275977
0.003283807189,-91.96857297,-111.0412909,-162.6646051,-90.37199723,-103.5766924
0.003342602844,-92.00379488,-111.2910153,-162.3803917,-90.37868551,-103.7249033
0.00340245122,-92.03964607,-111.5403111,-162.0923874,-90.38549505,-103.8721161
0.003463371163,-92.07613774,-111.7890355,-161.800584,-90.39242812,-104.0182147
0.003525381862,-92.11328127,-112.0370427,-161.504976,-90.39948701,-104.163081
0.003588502844,-92.15108825,-112.2841844,-161.2055598,-90.40667406,-104.306595
0.003652753991,-92.18957048,-112.5303096,-160.9023345,-90.41399167,-104.4486355
0.003718155536,-92.22873995,-112.7752654,-160.5953018,-90.42144228,-104.5890798
0.003784728078,-92.26860887,-113.0188966,-160.2844659,-90.42902836,-104.727804
0.003852492582,-92.30918967,-113.2610465,-159.9698339,-90.43675247,-104.8646835
0.003921470391,-92.35049497,-113.5015569,-159.6514159,-90.4446172,-104.9995929
0.003991683229,-92.39253765,-113.7402681,-159.3292249,-90.45262518,-105.1324066
0.004063153208,-92.43533078,-113.9770197,-159.0032771,-90.46077911,-105.2629987
0.004135902837,-92.47888768,-114.2116508,-158.6735917,-90.46908176,-105.3912434
0.004209955028,-92.52322188,-114.4439997,-158.3401915,-90.47753592,-105.5170156
0.004285333103,-92.56834717,-114.6739051,-158.0031028,-90.48614447,-105.6401907
0.004362060802,-92.61427755,-114.9012058,-157.6623552,-90.49491034,-105.7606451
0.004440162289,-92.6610273,-115.1257413,-157.3179821,-90.50383651,-105.8782565
0.004519662161,-92.70861091,-115.3473521,-156.9700206,-90.51292604,-105.9929043
0.004600585456,-92.75704314,-115.5658799,-156.6185119,-90.52218205,-106.1044699
0.00468295766,-92.80633901,-115.7811682,-156.2635007,-90.53160771,-106.2128368
0.004766804716,-92.85651378,-115.9930624,-155.9050362,-90.54120628,-106.3178911
0.00485215303,-92.90758299,-116.2014105,-155.5431716,-90.55098108,-106.4195218
0.004939029481,-92.95956244,-116.4060631,-155.177964,-90.5609355,-106.5176211
0.005027461432,-93.0124682,-116.6068739,-154.8094752,-90.57107301,-106.6120846
0.005117476732,-93.06631662,-116.8037003,-154.4377713,-90.58139715,-106.7028121
0.005209103731,-93.12112432,-116.9964033,-154.0629225,-90.59191154,-106.7897069
0.005302371286,-93.17690822,-117.1848481,-153.6850038,-90.60261988,-106.8726774
0.00539730877,-93.23368552,-117.3689047,-153.3040946,-90.61352594,-106.9516361
0.005493946084,-93.29147371,-117.5484477,-152.920279,-90.6246336,-107.0265008
0.005592313662,-93.35029057,-117.7233572,-152.5336454,-90.6359468,-107.0971947
0.005692442484,-93.4101542,-117.8935188,-152.1442872,-90.6474696,-107.1636461
0.005794364085,-93.471083,-118.0588238,-151.7523021,-90.65920611,-107.2257893
0.005898110564,-93.53309568,-118.2191701,-151.3577926,-90.67116056,-107.2835647
0.006003714595,-93.59621125,-118.3744616,-150.9608659,-90.68333729,-107.3369186
0.006111209437,-93.66044907,-118.5246096,-150.5616336,-90.69574071,-107.3858038
0.006220628943,-93.7258288,-118.6695319,-150.1602121,-90.70837536,-107.4301796
0.006332007576,-93.79237043,-118.8091541,-149.7567223,-90.72124586,-107.4700122
0.006445380412,-93.8600943,-118.9434089,-149.3512895,-90.73435696,-107.5052745
0.006560783158,-93.92902108,-119.0722373,-148.9440435,-90.74771352,-107.5359461
0.006678252157,-93.99917177,-119.1955879,-148.5351184,-90.7613205,-107.5620141
0.006797824406,-94.07056774,-119.3134177,-148.1246528,-90.775183,-107.5834725
0.006919537564,-94.1432307,-119.425692,-147.7127892,-90.78930623,-107.6003223
0.007043429961,-94.21718272,-119.5323846,-147.2996742,-90.80369554,-107.6125719
0.007169540617,-94.29244623,-119.633478,-146.8854585,-90.8183564,-107.6202368
0.00729790925,-94.36904402,-119.7289633,-146.4702965,-90.83329442,-107.6233396
0.007428576287,-94.44699928,-119.8188406,-146.0543463,-90.84851536,-107.62191
0.007561582881,-94.52633553,-119.9031188,-145.6377695,-90.86402509,-107.615985
0.007696970922,-94.60707671,-119.9818157,-145.2207311,-90.87982968,-107.6056082
0.007834783048,-94.68924712,-120.0549583,-144.8033991,-90.89593532,-107.5908302
0.007975062661,-94.77287147,-120.1225822,-144.3859446,-90.91234837,-107.5717084
0.008117853942,-94.85797485,-120.1847322,-143.9685415,-90.92907534,-107.5483066
0.008263201861,-94.94458276,-120.2414618,-143.5513662,-90.94612295,-107.520695
0.008411152194,-95.03272108,-120.2928335,-143.1345976,-90.96349805,-107.4889501
0.008561751537,-95.12241613,-120.3389184,-142.7184166,-90.9812077,-107.4531544
0.00871504732,-95.21369461,-120.3797963,-142.303006,-90.99925914,-107.413396
0.00887108782,-95.30658367,-120.4155554,-141.8885504,-91.0176598,-107.3697688
0.009029922183,-95.40111085,-120.4462924,-141.4752358,-91.03641734,-107.3223718
0.00919160043,-95.49730413,-120.4721118,-141.0632494,-91.05553959,-107.271309
