t,u_raw,u_sat,u_rate,ref,psi,x,y
0,0,0,0,72,0,0,0
0.04,547.2,16,0.2,72,1.792e-05,0.12,3.753156e-08
0.08,223.19986,16,0.4,72,7.1584427e-05,0.24,1.8745763e-07
0.12,223.19954,16,0.6,72,0.00017872264,0.36,5.6177346e-07
0.16,223.19896,16,0.8,72,0.00035696946,0.48,1.3094085e-06
0.2,223.19809,16,1,72,0.00062386562,0.6,2.6160296e-06
0.24,223.19686,16,1.2,72,0.00099685834,0.72,4.7038449e-06
0.28,223.19523,16,1.4,72,0.0014933018,0.84,7.8314087e-06
0.32,223.19314,16,1.6,72,0.0021304575,0.96,1.2293428e-05
0.36,223.19053,16,1.8,72,0.002925495,1.08,1.8420571e-05
0.4,223.18735,16,2,72,0.0038954924,1.2,2.6579271e-05
0.44,223.18356,16,2.2,72,0.0050574364,1.32,3.7171541e-05
0.48,223.17909,16,2.4,72,0.0064282234,1.44,5.0634781e-05
0.52,223.1739,16,2.6,72,0.0080246596,1.56,6.7441589e-05
0.56,223.16794,16,2.8,72,0.0098634614,1.68,8.8099574e-05
0.6,223.16115,16,3,72,0.011961256,1.8,0.00011315117
0.64,223.15348,16,3.2,72,0.014334583,1.92,0.00014317345
0.68,223.14488,16,3.4,72,0.016999892,2.04,0.00017877794
0.72,223.13531,16,3.6,72,0.019973546,2.16,0.00022061044
0.76,223.1247,16,3.8,72,0.02327182,2.28,0.00026935082
0.8,223.11302,16,4,72,0.026910904,2.4,0.00032571288
0.84,223.1002,16,4.2,72,0.030906899,2.5199999,0.00039044414
0.88,223.08621,16,4.4,72,0.035275822,2.6399999,0.00046432564
0.92,223.07098,16,4.6,72,0.040033604,2.7599999,0.00054817182
0.96,223.05449,16,4.8,72,0.045196092,2.8799998,0.00064283028
1,223.03666,16,5,72,0.050779046,2.9999998,0.00074918166
1.04,223.01746,16,5.2,72,0.056798144,3.1199997,0.00086813939
1.08,222.99684,16,5.4,72,0.063268981,3.2399997,0.0010006496
1.12,222.97475,16,5.6,72,0.070207066,3.3599996,0.0011476909
1.16,222.95114,16,5.8,72,0.077627829,3.4799995,0.0013102742
1.2,222.92596,16,6,72,0.085546614,3.5999993,0.0014894425
1.24,222.89917,16,6.2,72,0.093978685,3.7199992,0.001686271
1.28,222.87072,16,6.4,72,0.10293923,3.839999,0.0019018662
1.32,222.84057,16,6.6,72,0.11244334,3.9599987,0.0021373669
1.36,222.80866,16,6.8,72,0.12250604,4.0799985,0.0023939427
1.4,222.77495,16,7,72,0.13314227,4.1999981,0.002672795
1.44,222.7394,16,7.2,72,0.1443669,4.3199978,0.002975156
1.48,222.70195,16,7.4,72,0.1561947,4.4399973,0.003302289
1.52,222.66257,16,7.6,72,0.16864039,4.5599968,0.0036554881
1.56,222.62121,16,7.8,72,0.18171857,4.6799962,0.004036078
