t,psi_ref,psi,psi_meas,x,y,cmd,delta
0,0.0042445316,0,0,0,0,0,0
0.05,0.0043129781,2.0858897e-08,0,0.16,5.8249028e-11,0.0086259561,0.00017970742
0.1,0.004382528,8.3151152e-08,0,0.32,2.9045085e-10,0.008765056,0.00035856885
0.15,0.0044531993,2.071768e-07,0,0.48,8.6899762e-10,0.0089063986,0.00053664863
0.2,0.00452501,4.129713e-07,0,0.64,2.022231e-09,0.00905002,0.00071401054
0.25,0.0045979785,7.2031523e-07,0,0.8,4.0337306e-09,0.009195957,0.00089071776
0.3,0.0046721234,1.1487438e-06,0,0.96,7.2416286e-09,0.0093442468,0.0010668329
0.35,0.0047474637,1.7175565e-06,0,1.12,1.2037951e-08,0.0094949274,0.0012424182
0.4,0.0048240186,2.4458257e-06,0,1.28,1.8867985e-08,0.0096480373,0.0014175353
0.45,0.0049018078,3.3524068e-06,0,1.44,2.8229671e-08,0.0098036156,0.0015922453
0.5,0.0049808511,4.4559462e-06,0,1.6,4.067302e-08,0.0099617022,0.001766609
0.55,0.0050611688,5.7748909e-06,0,1.76,5.6799558e-08,0.010122338,0.0019406867
0.6,0.0051427813,7.3274967e-06,0,1.92,7.7261789e-08,0.010285563,0.0021145383
0.65,0.0052257095,9.1318374e-06,0,2.08,1.0276269e-07,0.010451419,0.0022882233
0.7,0.0053099747,1.1205813e-05,0,2.24,1.3405522e-07,0.010619949,0.0024618009
0.75,0.0053955983,1.3567157e-05,0,2.4,1.7194187e-07,0.010791197,0.00263533
0.8,0.0054826023,1.6233447e-05,0,2.56,2.1727421e-07,0.010965205,0.002808869
0.85,0.005571009,1.9222111e-05,0,2.72,2.7095247e-07,0.011142018,0.0029824763
0.9,0.0056608408,2.2550436e-05,0,2.88,3.3392516e-07,0.011321682,0.0031562097
0.95,0.0057521208,2.6235577e-05,0,3.04,4.0718872e-07,0.011504242,0.0033301271
1,0.0058448724,3.0294563e-05,0,3.2,4.917871e-07,0.011689745,0.0035042858
1.05,0.0059391192,3.4744304e-05,0,3.36,5.888115e-07,0.011878238,0.0036787431
1.1,0.0060348852,3.9601603e-05,0,3.52,6.9940003e-07,0.01206977,0.0038535562
1.15,0.0061321951,4.488316e-05,0,3.68,8.2473746e-07,0.01226439,0.0040287819
1.2,0.0062310737,5.060558e-05,0,3.84,9.660549e-07,0.012462147,0.004204477
1.25,0.0063315462,5.6785381e-05,0,4,1.1246296e-06,0.012663092,0.0043806982
1.3,0.0064336383,6.3439001e-05,0,4.16,1.3017847e-06,0.012867277,0.0045575019
1.35,0.0065373762,7.0582805e-05,0,4.32,1.4988891e-06,0.013074752,0.0047349446
1.4,0.0066427863,7.8233094e-05,0,4.48,1.7173571e-06,0.013285573,0.0049130827
1.45,0.0067498956,8.6406109e-05,0,4.64,1.9586485e-06,0.013499791,0.0050919724
1.5,0.0068587314,9.5118041e-05,0,4.8,2.2242682e-06,0.013717463,0.0052716702
1.55,0.0069693216,0.00010438504,0,4.96,2.5157662e-06,0.013938643,0.0054522321
1.6,0.0070816944,0.0001142232,0,5.12,2.8347375e-06,0.014163389,0.0056337145
1.65,0.0071958785,0.00012464862,0,5.28,3.1828221e-06,0.014391757,0.0058161738
1.7,0.0073119032,0.00013567735,0,5.44,3.5617048e-06,0.014623806,0.0059996661
1.75,0.0074297981,0.00014732541,0,5.6,3.9731149e-06,0.014859596,0.006184248
1.8,0.0075495933,0.00015960885,0,5.76,4.4188269e-06,0.015099187,0.0063699759
1.85,0.0076713194,0.00017254369,0,5.92,4.9006598e-06,0.015342639,0.0065569063
1.9,0.0077950075,0.00018614595,0,6.08,5.4204774e-06,0.015590015,0.0067450961
1.95,0.0079206892,0.00020043167,0,6.24,5.9801882e-06,0.015841378,0.006934602
2,0.0080483966,0.0002154169,0,6.4,6.5817456e-06,0.016096793,0.007125481
2.05,0.0081781624,0.00023111772,0,6.56,7.2271481e-06,0.016356325,0.0073177902
2.1,0.0083100198,0.00024755024,0,6.72,7.9184387e-06,0.01662004,0.0075115871
2.15,0.0084440023,0.00026473059,0,6.88,8.657706e-06,0.016888005,0.0077069291
2.2,0.0085801443,0.00028267496,0,7.04,9.4470834e-06,0.017160289,0.0079038741
2.25,0.0087184804,0.00030139958,0,7.2,1.028875e-05,0.017436961,0.0081024801
