t,x,y,psi_ref,u,delta
0,0,0.01450273,0.041901098,0,0
0.08,0.36,0.014766002,0.042281213,0.14541913,0.14541913
0.16,0.72,0.015034051,0.043048332,0.14536954,0.14536954
0.24,1.08,0.015306964,0.043829354,0.14373638,0.14373638
0.32,1.44,0.015584827,0.04462453,0.14220131,0.14220131
0.4,1.8,0.015867732,0.045434115,0.14076228,0.14076228
0.48,2.16,0.01615577,0.046258372,0.13941733,0.13941733
0.56,2.52,0.016449032,0.047097564,0.13816455,0.13816455
0.64,2.88,0.016747615,0.047951961,0.13700215,0.13700215
0.72,3.24,0.017051615,0.048821839,0.13592836,0.13592836
0.8,3.6,0.017361129,0.049707478,0.1349415,0.1349415
0.88,3.96,0.017676257,0.050609161,0.13403997,0.13403997
0.96,4.32,0.017997102,0.05152718,0.13322223,0.13322223
1.04,4.68,0.018323767,0.052461829,0.13248678,0.13248678
1.12,5.04,0.018656357,0.053413408,0.13183222,0.13183222
1.2,5.4,0.01899498,0.054382224,0.13125718,0.13125718
1.28,5.76,0.019339745,0.055368588,0.13076038,0.13076038
1.36,6.12,0.019690762,0.056372816,0.13034056,0.13034056
1.44,6.48,0.020048147,0.057395232,0.12999656,0.12999656
1.52,6.84,0.020412012,0.058436164,0.12972723,0.12972723
1.6,7.2,0.020782477,0.059495946,0.12953152,0.12953152
1.68,7.56,0.021159661,0.060574919,0.1294084,0.1294084
1.76,7.92,0.021543684,0.061673428,0.12935691,0.12935691
1.84,8.28,0.021934672,0.062791827,0.12937612,0.12937612
1.92,8.64,0.02233275,0.063930474,0.12946518,0.12946518
2,9,0.022738047,0.065089735,0.12962325,0.12962325
2.08,9.36,0.023150692,0.066269982,0.12984958,0.12984958
2.16,9.72,0.02357082,0.067471594,0.13014343,0.13014343
2.24,10.08,0.023998566,0.068694955,0.13050412,0.13050412
2.32,10.44,0.024434067,0.069940459,0.13093102,0.13093102
2.4,10.8,0.024877464,0.071208503,0.13142354,0.13142354
2.48,11.16,0.0253289,0.072499496,0.13198112,0.13198112
2.56,11.52,0.02578852,0.073813851,0.13260325,0.13260325
2.64,11.88,0.026256472,0.075151988,0.13328948,0.13328948
2.72,12.24,0.026732908,0.076514336,0.13403937,0.13403937
