t,x,y,psi_ref,u,delta
0,0,0,0,0,0
0.08,0.36,0,0,0,0
0.16,0.72,0,0,0,0
0.24,1.08,0,0,0,0
0.32,1.44,0,0,0,0
0.4,1.8,0,0,0,0
0.48,2.16,0,0,0,0
0.56,2.52,0,0,0,0
0.64,2.88,0,0,0,0
0.72,3.24,0,0,0,0
0.8,3.6,0,0,0,0
0.88,3.96,0,0,0,0
0.96,4.32,0,0,0,0
1.04,4.68,0,0,0,0
1.12,5.04,0,0,0,0
1.2,5.4,0,0,0,0
1.28,5.76,0,0,0,0
1.36,6.12,0,0,0,0
1.44,6.48,0,0,0,0
1.52,6.84,0,0,0,0
1.6,7.2,0,0,0,0
1.68,7.56,0,0,0,0
1.76,7.92,0,0,0,0
1.84,8.28,0,0,0,0
1.92,8.64,0,0,0,0
2,9,0,0,0,0
2.08,9.36,0,0,0,0
2.16,9.72,0,0,0,0
2.24,10.08,0,0,0,0
2.32,10.44,0,0,0,0
2.4,10.8,0,0,0,0
2.48,11.16,0,0,0,0
2.56,11.52,0,0,0,0
2.64,11.88,0,0,0,0
2.72,12.24,0,0,0,0
2.8,12.6,0,0,0,0
2.88,12.96,0,0,0,0
2.96,13.32,0,0,0,0
3.04,13.68,0,0,0,0
3.12,14.04,0,0,0,0
3.2,14.4,0,0,0,0
3.28,14.76,0,0,0,0
3.36,15.12,0,0,0,0
3.44,15.48,0,0,0,0
3.52,15.84,0,0,0,0
3.6,16.2,0,0,0,0
3.68,16.56,0,0,0,0
3.76,16.92,0,0,0,0
3.84,17.28,0,0,0,0
3.92,17.64,0,0,0,0
4,18,0,0,0,0
4.08,18.36,0,0,0,0
4.16,18.72,0,0,0,0
4.24,19.08,0,0,0,0
4.32,19.44,0,0,0,0
4.4,19.8,0,0,0,0
4.48,20.16,0,0,0,0
4.56,20.52,0,0,0,0
4.64,20.88,0,0,0,0
4.72,21.24,0,0,0,0
4.8,21.6,0,0,0,0
4.88,21.96,0,0,0,0
4.96,22.32,0,0,0,0
5.04,22.68,0,0,0,0
5.12,23.04,0,0,0,0
5.2,23.4,0,0,0,0
5.28,23.76,0,0,0,0
5.36,24.12,0,0,0,0
5.44,24.48,0,0,0,0
5.52,24.84,0,0,0,0
5.6,25.2,0,0,0,0
5.68,25.56,0,0,0,0
5.76,25.92,0,0,0,0
5.84,26.28,0,0,0,0
5.92,26.64,0,0,0,0
6,27,0,0,0,0
6.08,27.36,0,0,0,0
6.16,27.72,0,0,0,0
6.24,28.08,0,0,0,0
6.32,28.44,0,0,0,0
6.4,28.8,0,0,0,0
6.48,29.16,0,0,0,0
6.56,29.52,0,0,0,0
6.64,29.88,0,0,0,0
6.72,30.24,0,0,0,0
6.8,30.6,0,0,0,0
6.88,30.96,0,0,0,0
6.96,31.32,0,0,0,0
7.04,31.68,0,0,0,0
7.12,32.04,0,0,0,0
7.2,32.4,0,0,0,0
7.28,32.76,0,0,0,0
7.36,33.12,0,0,0,0
7.44,33.48,0,0,0,0
7.52,33.84,0,0,0,0
7.6,34.2,0,0,0,0
7.68,34.56,0,0,0,0
7.76,34.92,0,0,0,0
7.84,35.28,0,0,0,0
7.92,35.64,0,0,0,0
8,36,0,0,0,0
8.08,36.36,0,0,0,0
8.16,36.72,0,0,0,0
8.24,37.08,0,0,0,0
8.32,37.44,0,0,0,0
8.4,37.8,0,0,0,0
8.48,38.16,0,0,0,0
8.56,38.52,0,0,0,0
8.64,38.88,0,0,0,0
8.72,39.24,0,0,0,0
8.8,39.6,0,0,0,0
8.88,39.96,0,0,0,0
8.96,40.32,0,0,0,0
9.04,40.68,0,0,0,0
9.12,41.04,0,0,0,0
9.2,41.4,0,0,0,0
9.28,41.76,0,0,0,0
9.36,42.12,0,0,0,0
9.44,42.48,0,0,0,0
9.52,42.84,0,0,0,0
9.6,43.2,0,0,0,0
9.68,43.56,0,0,0,0
9.76,43.92,0,0,0,0
9.84,44.28,0,0,0,0
9.92,44.64,0,0,0,0
10,45,0,0,0,0
10.08,45.36,0,0,0,0
10.16,45.72,0,0,0,0
10.24,46.08,0,0,0,0
10.32,46.44,0,0,0,0
10.4,46.8,0,0,0,0
10.48,47.16,0,0,0,0
10.56,47.52,0,0,0,0
10.64,47.88,0,0,0,0
10.72,48.24,0,0,0,0
10.8,48.6,0,0,0,0
10.88,48.96,0,0,0,0
10.96,49.32,0,0,0,0
11.04,49.68,0,0,0,0
11.12,50.04,0,0,0,0
11.2,50.4,0,0,0,0
11.28,50.76,0,0,0,0
11.36,51.12,0,0,0,0
11.44,51.48,0,0,0,0
11.52,51.84,0,0,0,0
11.6,52.2,0,0,0,0
11.68,52.56,0,0,0,0
11.76,52.92,0,0,0,0
11.84,53.28,0,0,0,0
11.92,53.64,0,0,0,0
12,54,0,0,0,0
12.08,54.36,0,0,0,0
12.16,54.72,0,0,0,0
12.24,55.08,0,0,0,0
12.32,55.44,0,0,0,0
12.4,55.8,0,0,0,0
12.48,56.16,0,0,0,0
12.56,56.52,0,0,0,0
12.64,56.88,0,0,0,0
12.72,57.24,0,0,0,0
12.8,57.6,0,0,0,0
12.88,57.96,0,0,0,0
12.96,58.32,0,0,0,0
13.04,58.68,0,0,0,0
13.12,59.04,0,0,0,0
13.2,59.4,0,0,0,0
13.28,59.76,0,0,0,0
13.36,60.12,0,0,0,0
13.44,60.48,0,0,0,0
13.52,60.84,0,0,0,0
13.6,61.2,0,0,0,0
13.68,61.56,0,0,0,0
13.76,61.92,0,0,0,0
13.84,62.28,0,0,0,0
13.92,62.64,0,0,0,0
14,63,0,0,0,0
14.08,63.36,0,0,0,0
14.16,63.72,0,0,0,0
14.24,64.08,0,0,0,0
14.32,64.44,0,0,0,0
14.4,64.8,0,0,0,0
14.48,65.16,0,0,0,0
14.56,65.52,0,0,0,0
14.64,65.88,0,0,0,0
14.72,66.24,0,0,0,0
14.8,66.6,0,0,0,0
14.88,66.96,0,0,0,0
14.96,67.32,0,0,0,0
15.04,67.68,0,0,0,0
15.12,68.04,0,0,0,0
15.2,68.4,0,0,0,0
15.28,68.76,0,0,0,0
15.36,69.12,0,0,0,0
15.44,69.48,0,0,0,0
15.52,69.84,0,0,0,0
15.6,70.2,0,0,0,0
15.68,70.56,0,0,0,0
15.76,70.92,0,0,0,0
15.84,71.28,0,0,0,0
15.92,71.64,0,0,0,0
16,72,0,0,0,0
16.08,72.36,0,0,0,0
16.16,72.72,0,0,0,0
16.24,73.08,0,0,0,0
16.32,73.44,0,0,0,0
16.4,73.8,0,0,0,0
16.48,74.16,0,0,0,0
16.56,74.52,0,0,0,0
16.64,74.88,0,0,0,0
16.72,75.24,0,0,0,0
