t,r,y,ym,yf,feedback,e,u,delta
0,0.15,0,-0.028916436,-0.028916436,-0.028916436,0.17891644,0.38467034,0.38467034
0.02,0.15,0.0049563683,0.059306053,-0.025708345,-0.025708345,0.17570835,0.37777294,0.38411855
0.04,0.15,0.0098352347,0.061009759,-0.02255496,-0.02255496,0.17255496,0.37099316,0.38306851
0.06,0.15,0.014632188,0.057922469,-0.019628508,-0.019628508,0.16962851,0.36470129,0.38159914
0.08,0.15,0.019351764,-0.043927158,-0.020512095,-0.020512095,0.1705121,0.366601,0.38039929
0.1,0.15,0.023991254,0.040749995,-0.018284383,-0.018284383,0.16828438,0.36181142,0.37891226
0.12,0.15,0.028558029,-0.077775681,-0.020447703,-0.020447703,0.1704477,0.36646256,0.37791628
0.14,0.15,0.033046378,0.074658423,-0.016989298,-0.016989298,0.1669893,0.35902699,0.37640514
0.16,0.15,0.037451845,0.070116213,-0.013821825,-0.013821825,0.16382182,0.35221692,0.37447008
0.18,0.15,0.041772356,0.049874934,-0.011505579,-0.011505579,0.16150558,0.347237,0.37229143
0.2,0.15,0.046008962,0.016923229,-0.010471804,-0.010471804,0.1604718,0.34501438,0.37010927
0.22,0.15,0.050158678,0.067817495,-0.0076249206,-0.0076249206,0.15762492,0.33889358,0.36761201
0.24,0.15,0.054217134,0.092392803,-0.0039879125,-0.0039879125,0.15398791,0.33107401,0.36468897
0.26,0.15,0.058182307,0.073034745,-0.0011870886,-0.0011870886,0.15118709,0.32505224,0.36151804
0.28,0.15,0.062050757,0.096915604,0.002380282,0.002380282,0.14761972,0.31738239,0.35798718
0.3,0.15,0.065828152,-0.0072286134,0.0020308677,0.0020308677,0.14796913,0.31813363,0.3547989
0.32,0.15,0.069516804,0.028737118,0.003002004,0.003002004,0.146998,0.31604569,0.35169864
0.34,0.15,0.073113298,0.099140915,0.0064979644,0.0064979644,0.14350204,0.30852938,0.3482451
0.36,0.15,0.076623057,-0.0017834331,0.0061968227,0.0061968227,0.14380318,0.30917683,0.34511964
0.38,0.15,0.080055728,-0.059487234,0.0038083116,0.0038083116,0.14619169,0.31431213,0.34265504
0.4,0.15,0.083409852,0.065723223,0.0060597629,0.0060597629,0.14394024,0.30947151,0.34000036
0.42,0.15,0.086678212,0.14201032,0.011003419,0.011003419,0.13899658,0.29884265,0.33670774
0.44,0.15,0.08985687,0.11561977,0.014807651,0.014807651,0.13519235,0.29066355,0.33302421
0.46,0.15,0.092948122,0.047817936,0.016008025,0.016008025,0.13399198,0.28808275,0.32942889
0.48,0.15,0.095950381,0.095634944,0.018903549,0.018903549,0.13109645,0.28185737,0.32562317
0.5,0.15,0.098860693,0.11840053,0.022521621,0.022521621,0.12747838,0.27407852,0.3214996
0.52,0.15,0.10167142,0.18458524,0.028414843,0.028414843,0.12158516,0.26140809,0.31669227
0.54,0.15,0.10438062,0.1300415,0.032110358,0.032110358,0.11788964,0.25346273,0.31163391
0.56,0.15,0.10698713,0.12718583,0.035567648,0.035567648,0.11443235,0.24602956,0.30638556
0.58,0.15,0.10948629,0.17704775,0.040712379,0.040712379,0.10928762,0.23496838,0.30067219
0.6,0.15,0.11187801,0.13205701,0.044034002,0.044034002,0.105966,0.2278269,0.29484456
0.62,0.15,0.11416462,0.1068751,0.046319133,0.046319133,0.10368087,0.22291386,0.28909011
0.64,0.15,0.11635307,0.050524884,0.04647207,0.04647207,0.10352793,0.22258505,0.2837697
0.66,0.15,0.11844915,0.058626575,0.046914052,0.046914052,0.10308595,0.22163479,0.27879891
0.68,0.15,0.12045265,0.12770766,0.049852001,0.049852001,0.100148,0.2153182,0.27372045
0.7,0.15,0.12236579,0.10220599,0.051755782,0.051755782,0.098244218,0.21122507,0.26872082
0.72,0.15,0.12419195,0.088178985,0.053080263,0.053080263,0.096919737,0.20837744,0.26389335
0.74,0.15,0.1259237,0.2208852,0.05918226,0.05918226,0.09081774,0.19525814,0.25840254
0.76,0.15,0.12757432,-0.020128109,0.056298247,0.056298247,0.093701753,0.20145877,0.25384703
0.78,0.15,0.12914645,0.09497545,0.05770469,0.05770469,0.09229531,0.19843492,0.24941406
0.8,0.15,0.13064165,0.10745778,0.059513894,0.059513894,0.090486106,0.19454513,0.24502455
0.82,0.15,0.13205989,0.12840728,0.062019108,0.062019108,0.087980892,0.18915892,0.2405553
