t,ref,K_actual,T_actual,bias_actual,psi_traditional,psi_mpc_nominal,psi_mpc_data,u_traditional,u_mpc_nominal,u_mpc_data,err_traditional,err_mpc_nominal,err_mpc_data,r_traditional,r_mpc_nominal,r_mpc_data,K_est_data,T_est_data,bias_est_data
0,0,0.18,8,0,0,0,0,0,0.6000000000000001,0.6000000000000001,0,0,0,0,0,0,0.18,8,0
0.2,0,0.18,8,0,0,0.0005400000000000001,0.0005400000000000001,0,1.2,1.2,0,0.0005400000000000001,0.0005400000000000001,0,0.002700000000000001,0.002700000000000001,0.18,8,0
0.4,0,0.18,8,0,0,0.0021465,0.0021465,0,1.8,1.8,0,0.0021465,0.0021465,0,0.008032500000000001,0.008032500000000001,0.18,8,0
0.6000000000000001,0,0.18,8,0,0,0.005332837500000001,0.005332837500000001,0,2.4,2.4,0,0.005332837500000001,0.005332837500000001,0,0.0159316875,0.0159316875,0.18,8,0
0.8,0,0.18,8,0,0,0.0105995165625,0.0105995165625,0,3,3,0,0.0105995165625,0.0105995165625,0,0.0263333953125,0.0263333953125,0.18,8,0
1,0,0.18,8,0,0,0.0184345286484375,0.0184345286484375,0,3.600000000000001,3.600000000000001,0,0.0184345286484375,0.0184345286484375,0,0.03917506042968751,0.03917506042968751,0.18,8,0
1.2,0,0.18,8,0,0,0.02931366543222657,0.02931366543222657,0,4.200000000000001,4.200000000000001,0,0.02931366543222657,0.02931366543222657,0,0.05439568391894532,0.05439568391894532,0.18,8,0
1.4,0,0.18,8,0,0,0.04370082379642091,0.04370082379642091,0,4.800000000000001,4.800000000000001,0,0.04370082379642091,0.04370082379642091,0,0.07193579182097168,0.07193579182097168,0.18,8,0
1.6,0,0.18,8,0,0,0.06204830320151039,0.06204830320151039,0,5.4,5.4,0,0.06204830320151039,0.06204830320151039,0,0.09173739702544739,0.09173739702544739,0.18,8,0
1.8,0,0.18,8,0,0,0.08479709562147264,0.08479709562147264,0,6,6,0,0.08479709562147264,0.08479709562147264,0,0.1137439620998112,0.1137439620998112,0.18,8,0
2,0,0.18,8,0,0,0.1123771682309358,0.1123771682309358,0,6.6,6.6,0,0.1123771682309358,0.1123771682309358,0,0.1379003630473159,0.1379003630473159,0.18,8,0
2.2,0,0.18,8,0,0,0.1452077390251624,0.1452077390251624,0,7.199999999999999,7.199999999999999,0,0.1452077390251624,0.1452077390251624,0,0.164152853971133,0.164152853971133,0.18,8,0
2.4,0,0.18,8,0,0,0.1836975455495334,0.1836975455495334,0,7.799999999999999,7.799999999999999,0,0.1836975455495334,0.1836975455495334,0,0.1924490326218547,0.1924490326218547,0.18,8,0
2.6,0,0.18,8,0,0,0.2282451069107951,0.2282451069107951,0,8.399999999999999,8.399999999999999,0,0.2282451069107951,0.2282451069107951,0,0.2227378068063083,0.2227378068063083,0.18,8,0
2.8,0,0.18,8,0,0,0.2792389792380252,0.2792389792380252,0,8.999999999999998,8.999999999999998,0,0.2792389792380252,0.2792389792380252,0,0.2549693616361506,0.2549693616361506,0.18,8,0
3,0,0.18,8,0,0,0.3370580047570746,0.3370580047570746,0,9.599999999999998,9.599999999999998,0,0.3370580047570746,0.3370580047570746,0,0.2890951275952469,0.2890951275952469,0.18,8,0
3.2,0,0.18,8,0,0,0.4020715546381477,0.4020715546381477,0,10.2,10.2,0,0.4020715546381477,0.4020715546381477,0,0.3250677494053656,0.3250677494053656,0.18,8,0
3.4,0,0.18,8,0,0,0.474639765772194,0.474639765772194,0,10.8,10.8,0,0.474639765772194,0.474639765772194,0,0.3628410556702315,0.3628410556702315,0.18,8,0
3.6,0,0.18,8,0,0,0.5551137716278891,0.5551137716278891,0,11.4,11.4,0,0.5551137716278891,0.5551137716278891,0,0.4023700292784757,0.4023700292784757,0.18,8,0
3.8,0,0.18,8,0,0,0.6438359273371919,0.6438359273371919,0,12,12,0,0.6438359273371919,0.6438359273371919,0,0.4436107785465138,0.4436107785465138,0.18,8,0
4,0,0.18,8,0,0,0.741140029153762,0.741140029153762,0,12,12,0,0.741140029153762,0.741140029153762,0,0.4865205090828509,0.4865205090828509,0.18,8,0
4.2,0,0.18,8,0,0,0.8468115284249179,0.8468115284249179,0,12,12,0,0.8468115284249179,0.8468115284249179,0,0.5283574963557797,0.5283574963557797,0.18,8,0
4.4,0,0.18,8,0,0,0.960641240214295,0.960641240214295,0,12,12,0,0.960641240214295,0.960641240214295,0,0.5691485589468852,0.5691485589468852,0.18,8,0
4.600000000000001,0,0.18,8,0,0,1.082425209208937,1.082425209208937,0,12,12,0,1.082425209208937,1.082425209208937,0,0.6089198449732131,0.6089198449732131,0.18,8,0
4.800000000000001,0,0.18,8,0,0,1.211964578978714,1.211964578978714,0,12,12,0,1.211964578978714,1.211964578978714,0,0.6476968488488828,0.6476968488488828,0.18,8,0
5,12,0.18,8,0,0,1.349065464504246,1.349065464504246,0.6000000000000001,12,12,-12,-10.65093453549575,-10.65093453549575,0,0.6855044276276607,0.6855044276276607,0.18,8,0
5.2,12,0.18,8,0,0.0005400000000000001,1.49353882789164,1.49353882789164,1.2,11.5875,11.5875,-11.99946,-10.50646117210836,-10.50646117210836,0.002700000000000001,0.7223668169369692,0.7223668169369692,0.18,8,0
5.4,12,0.18,8,0,0.0021465,1.644829107194349,1.644829107194349,1.8,11.05078125,11.05078125,-11.9978535,-10.35517089280565,-10.35517089280565,0.008032500000000001,0.756451396513545,0.756451396513545,0.18,8,0
5.600000000000001,12,0.18,8,0,0.005332837500000001,1.80228283263949,1.80228283263949,2.4,10.56328125,10.56328125,-11.9946671625,-10.19771716736051,-10.19771716736051,0.0159316875,0.7872686272257063,0.7872686272257063,0.18,8,0
5.800000000000001,12,0.18,8,0,0.0105995165625,1.965307168073503,1.965307168073503,3,10.03828125,10.03828125,-11.9894004834375,-10.0346928319265,-10.0346928319265,0.0263333953125,0.8151216771700637,0.8151216771700637,0.18,8,0
6,12,0.18,8,0,0.0184345286484375,2.133290348246666,2.133290348246666,3.600000000000001,9.588281250000001,9.588281250000001,-11.98156547135156,-9.866709651753334,-9.866709651753334,0.03917506042968751,0.8399159008658121,0.8399159008658121,0.18,8,0
6.2,12,0.18,8,0,0.02931366543222657,2.305703402040499,2.305703402040499,4.200000000000001,9.100781250000002,9.100781250000002,-11.97068633456777,-9.6942965979595,-9.6942965979595,0.05439568391894532,0.8620652689691668,0.8620652689691668,0.18,8,0
6.4,12,0.18,8,0,0.04370082379642091,2.481996832614487,2.481996832614487,4.800000000000001,8.650781250000003,8.650781250000003,-11.95629917620358,-9.518003167385514,-9.518003167385514,0.07193579182097168,0.8814671528699376,0.8814671528699376,0.18,8,0
6.600000000000001,12,0.18,8,0,0.06204830320151039,2.661668630549125,2.661668630549125,5.4,8.238281250000004,8.238281250000004,-11.93795169679849,-9.338331369450875,-9.338331369450875,0.09173739702544739,0.8983589896731892,0.8983589896731892,0.18,8,0
6.800000000000001,12,0.18,8,0,0.08479709562147264,2.844263086660396,2.844263086660396,6,7.788281250000004,7.788281250000004,-11.91520290437853,-9.155736913339604,-9.155736913339604,0.1137439620998112,0.9129722805563595,0.9129722805563595,0.18,8,0
7,12,0.18,8,0,0.1123771682309358,3.029302134493887,3.029302134493887,6.6,7.375781250000005,7.375781250000005,-11.88762283176906,-8.970697865506114,-8.970697865506114,0.1379003630473159,0.9251952391674505,0.9251952391674505,0.18,8,0
7.2,12,0.18,8,0,0.1452077390251624,3.21635340925654,3.21635340925654,7.199999999999999,7.000781250000005,7.000781250000005,-11.85479226097484,-8.78364659074346,-8.78364659074346,0.164152853971133,0.9352563738132642,0.9352563738132642,0.18,8,0
7.4,12,0.18,8,0,0.1836975455495334,3.405029105275126,3.405029105275126,7.799999999999999,6.625781250000005,6.625781250000005,-11.81630245445047,-8.594970894724874,-8.594970894724874,0.1924490326218547,0.9433784800929326,0.9433784800929326,0.18,8,0
7.600000000000001,12,0.18,8,0,0.2282451069107951,3.594951112018248,3.594951112018248,8.399999999999999,6.250781250000005,6.250781250000005,-11.77175489308921,-8.405048887981753,-8.405048887981753,0.2227378068063083,0.9496100337156093,0.9496100337156093,0.18,8,0
7.800000000000001,12,0.18,8,0,0.2792389792380252,3.785750771717792,3.785750771717792,8.999999999999998,5.913281250000005,5.913281250000005,-11.72076102076197,-8.214249228282208,-8.214249228282208,0.2549693616361506,0.953998298497719,0.953998298497719,0.18,8,0
8,12,0.18,8,0,0.3370580047570746,3.977102393049847,3.977102393049847,9.599999999999998,5.575781250000005,5.575781250000005,-11.66294199524292,-8.022897606950153,-8.022897606950153,0.2890951275952469,0.9567581066602761,0.9567581066602761,0.18,8,0
8.200000000000001,12,0.18,8,0,0.4020715546381477,4.168688426973601,4.168688426973601,10.2,5.238281250000004,5.238281250000004,-11.59792844536185,-7.831311573026399,-7.831311573026399,0.3250677494053656,0.9579301696187692,0.9579301696187692,0.18,8,0
8.4,12,0.18,8,0,0.474639765772194,4.360199263174261,4.360199263174261,10.8,4.900781250000004,4.900781250000004,-11.52536023422781,-7.639800736825739,-7.639800736825739,0.3628410556702315,0.9575541810033,0.9575541810033,0.18,8,0
8.6,12,0.18,8,0,0.5551137716278891,4.551333031594904,4.551333031594904,11.4,4.600781250000004,4.600781250000004,-11.44488622837211,-7.448666968405096,-7.448666968405096,0.4023700292784757,0.9556688421032176,0.9556688421032176,0.18,8,0
8.800000000000001,12,0.18,8,0,0.6438359273371919,4.741829158930032,4.741829158930032,12,4.338281250000004,4.338281250000004,-11.35616407266281,-7.258170841069968,-7.258170841069968,0.4436107785465138,0.9524806366756371,0.9524806366756371,0.18,8,0
9,12,0.18,8,0,0.741140029153762,4.931467336206781,4.931467336206781,12,4.038281250000004,4.038281250000004,-11.25885997084624,-7.068532663793219,-7.068532663793219,0.4865205090828509,0.9481908863837462,0.9481908863837462,0.18,8,0
9.200000000000001,12,0.18,8,0,0.8468115284249179,5.119999012176612,5.119999012176612,12,3.775781250000004,3.775781250000004,-11.15318847157508,-6.880000987823388,-6.880000987823388,0.5283574963557797,0.9426583798491526,0.9426583798491526,0.18,8,0
9.4,12,0.18,8,0,0.960641240214295,5.307215599372197,5.307215599372197,12,3.513281250000004,3.513281250000004,-11.0393587597857,-6.692784400627803,-6.692784400627803,0.5691485589468852,0.9360829359779238,0.9360829359779238,0.18,8,0
9.600000000000001,12,0.18,8,0,1.082425209208937,5.492913725012892,5.492913725012892,12,3.288281250000004,3.288281250000004,-10.91757479079106,-6.507086274987108,-6.507086274987108,0.6089198449732131,0.9284906282034757,0.9284906282034757,0.18,8,0
9.800000000000001,12,0.18,8,0,1.211964578978714,5.676928850637569,5.676928850637569,12,3.025781250000004,3.025781250000004,-10.78803542102129,-6.323071149362431,-6.323071149362431,0.6476968488488828,0.9200756281233888,0.9200756281233888,0.18,8,0
10,12,0.18,8,0,1.349065464504246,5.85906680124663,5.85906680124663,12,2.800781250000004,2.800781250000004,-10.65093453549575,-6.14093319875337,-6.14093319875337,0.6855044276276607,0.9106897530453041,0.9106897530453041,0.18,8,0
10.2,12,0.18,8,0,1.49353882789164,6.039172006215464,6.039172006215464,12,2.575781250000004,2.575781250000004,-10.50646117210836,-5.960827993784536,-5.960827993784536,0.7223668169369692,0.9005260248441715,0.9005260248441715,0.18,8,0
10.4,12,0.18,8,0,1.645200357194349,6.217092784185078,6.217092784185078,12,2.388281250000004,2.388281250000004,-10.35479964280565,-5.782907215814922,-5.782907215814922,0.758307646513545,0.8896038898480673,0.8896038898480673,0.18,8,0
10.6,12,0.18,8,0,1.80387034826449,6.392714995830451,6.392714995830451,12,2.200781250000004,2.200781250000004,-10.19612965173551,-5.607285004169549,-5.607285004169549,0.7933499553507064,0.8781110582268656,0.8781110582268656,0.18,8,0
10.8,12,0.18,8,0,1.969373589557878,6.56592735530969,6.56592735530969,12,2.013281250000004,2.013281250000004,-10.03062641044212,-5.43407264469031,-5.43407264469031,0.8275162064669388,0.866061797396194,0.866061797396194,0.18,8,0
11,12,0.18,8,0,2.141539249818931,6.736621358926947,6.736621358926947,12,1.825781250000004,1.825781250000004,-9.858460750181068,-5.263378641073053,-5.263378641073053,0.8608283013052653,0.8534700180862892,0.8534700180862892,0.18,8,0
11.2,12,0.18,8,0,2.320200768573458,6.904691215578774,6.904691215578774,12,1.638281250000004,1.638281250000004,-9.679799231426543,-5.095308784421226,-5.095308784421226,0.8933075937726337,0.8403492832591319,0.8403492832591319,0.18,8,0
11.4,12,0.18,8,0,2.505195749359121,7.070033778939305,7.070033778939305,12,1.488281250000004,1.488281250000004,-9.494804250640879,-4.929966221060695,-4.929966221060695,0.9249749039283178,0.8267128168026536,0.8267128168026536,0.18,8,0
11.6,12,0.18,8,0,2.696365855625143,7.232582231340822,7.232582231340822,12,1.338281250000004,1.338281250000004,-9.303634144374858,-4.767417768659178,-4.767417768659178,0.9558505313301099,0.8127422620075873,0.8127422620075873,0.18,8,0
11.8,12,0.18,8,0,2.893556709234515,7.392271425557301,7.392271425557301,12,1.188281250000004,1.188281250000004,-9.106443290765485,-4.607728574442699,-4.607728574442699,0.9859542680468572,0.7984459710823976,0.7984459710823976,0.18,8,0
12,12,0.18,8,0,3.096617791503652,7.549037843043369,7.549037843043369,12,1.038281250000004,1.038281250000004,-8.903382208496348,-4.450962156956631,-4.450962156956631,1.015305411345686,0.7838320874303376,0.7838320874303376,0.18,8,0
12.2,12,0.18,8,0,3.305402346716061,7.702819553217284,7.702819553217284,12,0.8882812500000042,0.8882812500000042,-8.694597653283939,-4.297180446782716,-4.297180446782716,1.043922776062044,0.7689085508695792,0.7689085508695792,0.18,8,0
12.4,12,0.18,8,0,3.519767288048159,7.853556173761852,7.853556173761852,11.79425326409153,0.7757812500000042,0.7757812500000042,-8.480232711951841,-4.146443826238148,-4.146443826238148,1.071824706660492,0.7536831027228398,0.7536831027228398,0.18,8,0
12.6,12,0.18,8,0,3.739387933784638,8.001222581917807,8.001222581917807,11.4838767730464,0.6632812500000042,0.6632812500000042,-8.260612066215362,-3.998777418082193,-3.998777418082193,1.098103228682392,0.7383320407797688,0.7383320407797688,0.18,8,0
12.8,12,0.18,8,0,3.963853552473446,8.145794282994862,8.145794282994862,11.17244660907865,0.5507812500000041,0.5507812500000041,-8.036146447526555,-3.854205717005138,-3.854205717005138,1.122328093444041,0.7228585053852745,0.7228585053852745,0.18,8,0
13,12,0.18,8,0,4.192762732643205,8.28724739466999,8.28724739466999,10.86032187559297,0.4382812500000041,0.4382812500000041,-7.807237267356795,-3.71275260533001,-3.71275260533001,1.144545900848794,0.7072655583756426,0.7072655583756426,0.18,8,0
13.2,12,0.18,8,0,4.425723472996753,8.425558631678241,8.425558631678241,10.5478498621647,0.325781250000004,0.325781250000004,-7.574276527003247,-3.574441368321759,-3.574441368321759,1.164803701767742,0.6915561850412516,0.6915561850412516,0.18,8,0
13.4,12,0.18,8,0,4.662353259717412,8.560705290886284,8.560705290886284,10.23536609739774,0.213281250000004,0.213281250000004,-7.337646740282588,-3.439294709113716,-3.439294709113716,1.18314893360329,0.6757332960402204,0.6757332960402204,0.18,8,0
13.6,12,0.18,8,0,4.902279131257711,8.692665236739128,8.692665236739128,9.923194412110337,0.138281250000004,0.138281250000004,-7.097720868742289,-3.307334763260872,-3.307334763260872,1.199629357701497,0.6597997292642148,0.6597997292642148,0.18,8,0
13.8,12,0.18,8,0,5.145137730980403,8.821450637070649,8.821450637070649,9.611647012422932,0.06328125000000395,0.06328125000000395,-6.854862269019597,-3.178549362929351,-3.178549362929351,1.214292998613457,0.6439270016576095,0.6439270016576095,0.18,8,0
14,12,0.18,8,0,5.390575348021208,8.947073355518883,8.947073355518883,9.301024562326759,-0.01171874999999606,-0.01171874999999606,-6.609424651978792,-3.052926644481117,-3.052926644481117,1.227188085204023,0.6281135922411692,0.6281135922411692,0.18,8,0
14.2,12,0.18,8,0,5.638247946742086,9.069544959130912,9.069544959130912,8.991616275316936,-0.08671874999999601,-0.08671874999999601,-6.361752053257914,-2.930455040869088,-2.930455040869088,1.238362993604393,0.61235801806014,0.61235801806014,0.18,8,0
14.4,12,0.18,8,0,5.887821185142728,9.188876725777639,9.188876725777639,8.6837000146788,-0.161718749999996,-0.161718749999996,-6.112178814857272,-2.811123274222361,-2.811123274222361,1.247866192003209,0.5966588332336366,0.5966588332336366,0.18,8,0
14.6,12,0.18,8,0,6.138970422596565,9.305079651383199,9.305079651383199,8.377542402021746,-0.2367187499999959,-0.2367187499999959,-5.861029577403435,-2.694920348616801,-2.694920348616801,1.255746187269184,0.5810146280277957,0.5810146280277957,0.18,8,0
14.8,12,0.18,8,0,6.391380717275876,9.418164456973619,9.418164456973619,8.073398933660329,-0.3117187499999959,-0.3117187499999959,-5.608619282724124,-2.581835543026381,-2.581835543026381,1.262051473396552,0.5654240279521008,0.5654240279521008,0.18,8,0
15,12,0.18,8,0,6.644746813628498,9.528141595549279,9.528141595549279,7.771514104448386,-0.3492187499999958,-0.3492187499999958,-5.355253186371502,-2.471858404450721,-2.471858404450721,1.26683048176311,0.5498856928782982,0.5498856928782982,0.18,8,0
15.2,12,0.18,8,0,6.898773120266307,9.635055008785548,9.635055008785548,7.472121538677837,-0.4242187499999958,-0.4242187499999958,-5.101226879733693,-2.364944991214452,-2.364944991214452,1.27013153318905,0.5345670661813409,0.5345670661813409,0.18,8,0
15.4,12,0.18,8,0,7.153173678622982,9.738913789815909,9.738913789815909,7.175444127660148,-0.4617187499999958,-0.4617187499999958,-4.846826321377018,-2.261086210184091,-2.261086210184091,1.272002791783374,0.5192939051518074,0.5192939051518074,0.18,8,0
15.6,12,0.18,8,0,7.407672122735635,9.839760554445512,9.839760554445512,6.881694173614848,-0.4992187499999957,-0.4992187499999957,-4.592327877264365,-2.160239445554488,-2.160239445554488,1.27249222056326,0.5042338231480122,0.5042338231480122,0.18,8,0
15.8,12,0.18,8,0,7.662001630501724,9.937636853084374,9.937636853084374,6.591073539496038,-0.5367187499999958,-0.5367187499999958,-4.337998369498276,-2.062363146915626,-2.062363146915626,1.271647538830445,0.489381493194312,0.489381493194312,0.18,8,0
16,12,0.18,8,0,7.915904866759207,10.03258319738227,10.03258319738227,6.303773804394597,-0.5742187499999959,-0.5742187499999959,-4.084095133240793,-1.967416802617734,-1.967416802617734,1.269516181287416,0.4747317214894542,0.4747317214894542,0.18,8,0
16.2,12,0.18,8,0,8.169133918534207,10.12463908619771,10.12463908619771,6.019976424160646,-0.611718749999996,-0.611718749999996,-3.830866081465793,-1.875360913802291,-1.875360913802291,1.266145258875006,0.4602794440772179,0.4602794440772179,0.18,8,0
16.4,12,0.18,8,0,8.421450222796578,10.21384303091777,10.21384303091777,5.739852896897856,-0.6492187499999961,-0.6492187499999961,-3.578549777203422,-1.786156969082233,-1.786156969082233,1.261581521311854,0.4460197236002875,0.4460197236002875,0.18,8,0
16.6,12,0.18,8,0,8.672624487059597,10.30023258014482,10.30023258014482,5.463564932988247,-0.6867187499999962,-0.6867187499999962,-3.327375512940403,-1.699767419855178,-1.699767419855178,1.255871321315098,0.4319477461352803,0.4319477461352803,0.18,8,0
16.8,12,0.18,8,0,8.922436603155731,10.3838443437662,10.3838443437662,5.191264629313439,-0.7242187499999962,-0.7242187499999962,-3.077563396844269,-1.616155656233799,-1.616155656233799,1.249060580480668,0.4180588181068983,0.4180588181068983,0.18,8,0
17,12,0.18,8,0,9.170675554515844,10.46471401642205,10.46471401642205,4.923094647345543,-0.7242187499999964,-0.7242187499999964,-2.829324445484156,-1.535285983577953,-1.535285983577953,1.241194756800562,0.4043483632792259,0.4043483632792259,0.18,8,0
