minute,air_C,product_C,compressor_duty,door_heat,load_heat,ambient_C,mode
0,5.15000,5.05000,0.07500,0.00000,0.00000,17.72183,2
1,5.17285,5.05040,0.07592,0.00000,0.00000,17.14530,2
2,5.19395,5.05089,0.08637,0.00000,0.00000,17.56548,2
3,5.21494,5.05146,0.09712,0.00000,0.00000,17.65037,2
4,5.23500,5.05212,0.10762,0.00000,0.00000,17.54963,2
5,5.25372,5.05285,0.11773,0.00000,0.00000,17.78465,2
6,5.27196,5.05365,0.12788,0.00000,0.00000,17.24111,2
7,5.28785,5.05452,0.13709,0.00000,0.00000,17.22576,2
8,5.30277,5.05546,0.14616,0.00000,0.00000,17.77491,2
9,5.31809,5.05645,0.15565,0.00000,0.00000,17.16531,2
10,5.33100,5.05749,0.16406,0.00000,0.00000,17.54305,2
11,5.34398,5.05859,0.17283,0.00000,0.00000,17.77564,2
12,5.35665,5.05973,0.18157,0.00000,0.00000,17.34318,2
13,5.36743,5.06092,0.18951,0.00000,0.00000,17.11231,2
14,5.37690,5.06214,0.19706,0.00000,0.00000,18.26518,2
15,5.38840,5.06340,0.20582,0.00000,0.00000,17.34277,2
16,5.39687,5.06470,0.21302,0.00000,0.00000,17.37477,2
17,5.40474,5.06603,0.22024,0.00000,0.00000,17.28356,2
18,5.41172,5.06739,0.22715,0.00000,0.00000,17.41698,2
19,5.41839,5.06876,0.23404,0.00000,0.00000,17.34830,2
20,5.42427,5.07016,0.24063,0.00000,0.00000,17.24151,2
21,5.42930,5.07158,0.24693,0.00000,0.00000,17.90153,2
22,5.43536,5.07301,0.25384,0.00000,0.00000,17.75111,2
23,5.44044,5.07446,0.26025,0.00000,0.00000,18.13593,2
24,5.44586,5.07592,0.26696,0.00000,0.00000,17.65929,2
25,5.44957,5.07740,0.27284,0.00000,0.00000,17.44316,2
26,5.45225,5.07889,0.27838,0.00000,0.00000,17.50187,2
27,5.45461,5.08038,0.28387,0.00000,0.00000,17.79452,2
28,5.45721,5.08188,0.28953,0.00000,0.00000,17.20456,2
29,5.45794,5.08338,0.29425,0.00000,0.00000,17.68001,2
30,5.45943,5.08488,0.29952,0.00000,0.00000,17.59619,2
31,5.46030,5.08638,0.30443,0.00000,0.00000,17.96957,2
32,5.46166,5.08787,0.30964,0.00000,0.00000,17.40561,2
33,5.46126,5.08937,0.31395,0.00000,0.00000,17.31234,2
34,5.46032,5.09086,0.31813,0.00000,0.00000,17.58748,2
35,5.45973,5.09233,0.32251,0.00000,0.00000,17.61872,2
36,5.45889,5.09380,0.32673,0.00000,0.00000,16.92580,2
37,5.45608,5.09526,0.32999,0.00000,0.00000,17.36884,2
38,5.45412,5.09671,0.33379,0.00000,0.00000,17.12431,2
39,5.45132,5.09814,0.33709,0.00000,0.00000,17.79298,2
40,5.44990,5.09955,0.34112,0.00000,0.00000,16.99353,2
41,5.44629,5.10095,0.34392,0.00000,0.00000,17.57409,2
42,5.44390,5.10233,0.34748,0.00000,0.00000,16.96697,2
43,5.43982,5.10370,0.35007,0.00000,0.00000,18.48967,2
44,5.43923,5.10504,0.35450,0.00000,0.00000,18.08163,2
45,5.43734,5.10638,0.35799,0.00000,0.00000,17.65821,2
46,5.43420,5.10770,0.36095,0.00000,0.00000,17.16492,2
47,5.42971,5.10901,0.36330,0.00000,0.00000,17.54477,2
48,5.42600,5.11029,0.36610,0.00000,0.00000,17.36921,2
49,5.42172,5.11156,0.36851,0.00000,0.00000,16.84742,2
50,5.41607,5.11280,0.37025,0.00000,0.00000,17.88775,2
51,5.41285,5.11401,0.37325,0.00000,0.00000,17.30379,2
52,5.40805,5.11520,0.37524,0.00000,0.00000,17.45241,2
53,5.40353,5.11638,0.37744,0.00000,0.00000,18.15962,2
54,5.40058,5.11752,0.38037,0.00000,0.00000,17.64875,2
55,5.39624,5.11866,0.38244,0.00000,0.00000,17.46843,2
56,5.39137,5.11977,0.38431,0.00000,0.00000,17.61749,2
57,5.38678,5.12085,0.38632,0.00000,0.00000,16.91622,2
58,5.38044,5.12192,0.38738,0.00000,0.00000,18.03031,2
59,5.37676,5.12295,0.38985,0.00000,0.00000,17.31439,2
60,5.37123,5.12397,0.39115,0.00000,0.00000,17.29216,2
61,5.36563,5.12496,0.39251,0.00000,0.00000,17.80650,2
62,5.36124,5.12592,0.39442,0.00000,0.00000,17.59474,2
63,5.35626,5.12686,0.39589,0.00000,0.00000,17.66296,2
64,5.35139,5.12778,0.39742,0.00000,0.00000,16.98500,2
65,5.34487,5.12867,0.39806,0.00000,0.00000,17.66790,2
66,5.34001,5.12954,0.39960,0.00000,0.00000,17.16331,2
67,5.33391,5.13038,0.40034,0.00000,0.00000,17.30480,2
68,5.32817,5.13119,0.40130,0.00000,0.00000,17.72198,2
69,5.32343,5.13198,0.40267,0.00000,0.00000,17.54573,2
70,5.31824,5.13275,0.40369,0.00000,0.00000,17.51121,2
71,5.31296,5.13349,0.40464,0.00000,0.00000,17.73084,2
72,5.30820,5.13421,0.40582,0.00000,0.00000,17.76295,2
73,5.30350,5.13490,0.40693,0.00000,0.00000,17.60189,2
74,5.29840,5.13558,0.40779,0.00000,0.00000,17.61846,2
75,5.29334,5.13623,0.40865,0.00000,0.00000,17.42424,2
76,5.28782,5.13686,0.40923,0.00000,0.00000,17.75254,2
77,5.28312,5.13746,0.41020,0.00000,0.00000,17.55517,2
78,5.27794,5.13804,0.41082,0.00000,0.00000,17.90401,2
79,5.27362,5.13860,0.41185,0.00000,0.00000,17.15640,2
80,5.26749,5.13914,0.41187,0.00000,0.00000,17.35984,2
81,5.26194,5.13966,0.41226,0.00000,0.00000,17.53912,2
82,5.25686,5.14015,0.41278,0.00000,0.00000,17.01911,2
83,5.25058,5.14061,0.41261,0.00000,0.00000,17.21647,2
84,5.24486,5.14105,0.41277,0.00000,0.00000,17.09935,2
85,5.23894,5.14147,0.41271,0.00000,0.00000,17.33177,2
86,5.23365,5.14186,0.41293,0.00000,0.00000,17.85340,2
87,5.22967,5.14222,0.41370,0.00000,0.00000,18.44541,2
88,5.22709,5.14257,0.41502,0.00000,0.00000,17.89840,2
89,5.22314,5.14291,0.41552,0.00000,0.00000,16.47881,2
