minute,air_C,product_C,compressor_duty,door_heat,load_heat,ambient_C,mode
0,5.15000,5.05000,0.08400,0.00000,0.00000,17.72183,2
1,5.17213,5.05040,0.08604,0.00000,0.00000,17.14530,2
2,5.19243,5.05089,0.09753,0.00000,0.00000,17.56548,2
3,5.21255,5.05145,0.10929,0.00000,0.00000,17.65037,2
4,5.23167,5.05210,0.12073,0.00000,0.00000,17.54963,2
5,5.24938,5.05282,0.13167,0.00000,0.00000,17.78465,2
6,5.26656,5.05360,0.14261,0.00000,0.00000,17.24111,2
7,5.28135,5.05445,0.15245,0.00000,0.00000,17.22576,2
8,5.29512,5.05536,0.16208,0.00000,0.00000,17.77491,2
9,5.30926,5.05632,0.17214,0.00000,0.00000,17.16531,2
10,5.32097,5.05733,0.18097,0.00000,0.00000,17.54305,2
11,5.33273,5.05839,0.19015,0.00000,0.00000,17.77564,2
12,5.34416,5.05948,0.19927,0.00000,0.00000,17.34318,2
13,5.35370,5.06062,0.20748,0.00000,0.00000,17.11231,2
14,5.36191,5.06180,0.21521,0.00000,0.00000,18.26518,2
15,5.37215,5.06300,0.22427,0.00000,0.00000,17.34277,2
16,5.37935,5.06423,0.23157,0.00000,0.00000,17.37477,2
17,5.38596,5.06549,0.23887,0.00000,0.00000,17.28356,2
18,5.39170,5.06677,0.24580,0.00000,0.00000,17.41698,2
19,5.39713,5.06807,0.25269,0.00000,0.00000,17.34830,2
20,5.40180,5.06939,0.25924,0.00000,0.00000,17.24151,2
21,5.40563,5.07072,0.26543,0.00000,0.00000,17.90153,2
22,5.41051,5.07206,0.27232,0.00000,0.00000,17.75111,2
23,5.41443,5.07341,0.27864,0.00000,0.00000,18.13593,2
24,5.41872,5.07478,0.28529,0.00000,0.00000,17.65929,2
25,5.42130,5.07615,0.29100,0.00000,0.00000,17.44316,2
26,5.42289,5.07753,0.29632,0.00000,0.00000,17.50187,2
27,5.42419,5.07892,0.30157,0.00000,0.00000,17.79452,2
28,5.42577,5.08030,0.30701,0.00000,0.00000,17.20456,2
29,5.42550,5.08168,0.31142,0.00000,0.00000,17.68001,2
30,5.42603,5.08305,0.31641,0.00000,0.00000,17.59619,2
31,5.42596,5.08443,0.32102,0.00000,0.00000,17.96957,2
32,5.42643,5.08579,0.32598,0.00000,0.00000,17.40561,2
33,5.42517,5.08715,0.32993,0.00000,0.00000,17.31234,2
34,5.42341,5.08851,0.33371,0.00000,0.00000,17.58748,2
35,5.42203,5.08985,0.33774,0.00000,0.00000,17.61872,2
36,5.42044,5.09117,0.34160,0.00000,0.00000,16.92580,2
37,5.41693,5.09249,0.34439,0.00000,0.00000,17.36884,2
38,5.41431,5.09379,0.34779,0.00000,0.00000,17.12431,2
39,5.41088,5.09507,0.35064,0.00000,0.00000,17.79298,2
40,5.40888,5.09633,0.35431,0.00000,0.00000,16.99353,2
41,5.40472,5.09759,0.35664,0.00000,0.00000,17.57409,2
42,5.40182,5.09881,0.35980,0.00000,0.00000,16.96697,2
43,5.39728,5.10003,0.36191,0.00000,0.00000,18.48967,2
44,5.39627,5.10121,0.36608,0.00000,0.00000,18.08163,2
45,5.39398,5.10239,0.36923,0.00000,0.00000,17.65821,2
46,5.39047,5.10356,0.37179,0.00000,0.00000,17.16492,2
47,5.38565,5.10471,0.37366,0.00000,0.00000,17.54477,2
48,5.38165,5.10583,0.37605,0.00000,0.00000,17.36921,2
49,5.37711,5.10694,0.37803,0.00000,0.00000,16.84742,2
50,5.37124,5.10802,0.37925,0.00000,0.00000,17.88775,2
51,5.36784,5.10907,0.38190,0.00000,0.00000,17.30379,2
52,5.36290,5.11010,0.38345,0.00000,0.00000,17.45241,2
53,5.35826,5.11112,0.38524,0.00000,0.00000,18.15962,2
54,5.35523,5.11210,0.38786,0.00000,0.00000,17.64875,2
55,5.35083,5.11308,0.38954,0.00000,0.00000,17.46843,2
56,5.34593,5.11403,0.39101,0.00000,0.00000,17.61749,2
57,5.34135,5.11496,0.39264,0.00000,0.00000,16.91622,2
58,5.33504,5.11586,0.39323,0.00000,0.00000,18.03031,2
59,5.33142,5.11674,0.39539,0.00000,0.00000,17.31439,2
60,5.32599,5.11760,0.39629,0.00000,0.00000,17.29216,2
61,5.32051,5.11843,0.39724,0.00000,0.00000,17.80650,2
62,5.31627,5.11924,0.39882,0.00000,0.00000,17.59474,2
63,5.31145,5.12003,0.39995,0.00000,0.00000,17.66296,2
64,5.30678,5.12079,0.40114,0.00000,0.00000,16.98500,2
65,5.30048,5.12154,0.40136,0.00000,0.00000,17.66790,2
66,5.29587,5.12225,0.40259,0.00000,0.00000,17.16331,2
67,5.29003,5.12295,0.40294,0.00000,0.00000,17.30480,2
68,5.28459,5.12361,0.40355,0.00000,0.00000,17.72198,2
