minute,door_heat,load_heat,ambient_C,capacity,sensor_bias_C
0,0.00000,0.00000,17.72183,1.00000,0.00000
1,0.00000,0.00000,17.14530,1.00000,0.00000
2,0.00000,0.00000,17.56548,1.00000,0.00000
3,0.00000,0.00000,17.65037,1.00000,0.00000
4,0.00000,0.00000,17.54963,1.00000,0.00000
5,0.00000,0.00000,17.78465,1.00000,0.00000
6,0.00000,0.00000,17.24111,1.00000,0.00000
7,0.00000,0.00000,17.22576,1.00000,0.00000
8,0.00000,0.00000,17.77491,1.00000,0.00000
9,0.00000,0.00000,17.16531,1.00000,0.00000
10,0.00000,0.00000,17.54305,1.00000,0.00000
11,0.00000,0.00000,17.77564,1.00000,0.00000
12,0.00000,0.00000,17.34318,1.00000,0.00000
13,0.00000,0.00000,17.11231,1.00000,0.00000
14,0.00000,0.00000,18.26518,1.00000,0.00000
15,0.00000,0.00000,17.34277,1.00000,0.00000
16,0.00000,0.00000,17.37477,1.00000,0.00000
17,0.00000,0.00000,17.28356,1.00000,0.00000
18,0.00000,0.00000,17.41698,1.00000,0.00000
19,0.00000,0.00000,17.34830,1.00000,0.00000
20,0.00000,0.00000,17.24151,1.00000,0.00000
21,0.00000,0.00000,17.90153,1.00000,0.00000
22,0.00000,0.00000,17.75111,1.00000,0.00000
23,0.00000,0.00000,18.13593,1.00000,0.00000
24,0.00000,0.00000,17.65929,1.00000,0.00000
25,0.00000,0.00000,17.44316,1.00000,0.00000
26,0.00000,0.00000,17.50187,1.00000,0.00000
27,0.00000,0.00000,17.79452,1.00000,0.00000
28,0.00000,0.00000,17.20456,1.00000,0.00000
29,0.00000,0.00000,17.68001,1.00000,0.00000
30,0.00000,0.00000,17.59619,1.00000,0.00000
31,0.00000,0.00000,17.96957,1.00000,0.00000
32,0.00000,0.00000,17.40561,1.00000,0.00000
33,0.00000,0.00000,17.31234,1.00000,0.00000
34,0.00000,0.00000,17.58748,1.00000,0.00000
35,0.00000,0.00000,17.61872,1.00000,0.00000
36,0.00000,0.00000,16.92580,1.00000,0.00000
37,0.00000,0.00000,17.36884,1.00000,0.00000
38,0.00000,0.00000,17.12431,1.00000,0.00000
39,0.00000,0.00000,17.79298,1.00000,0.00000
40,0.00000,0.00000,16.99353,1.00000,0.00000
41,0.00000,0.00000,17.57409,1.00000,0.00000
42,0.00000,0.00000,16.96697,1.00000,0.00000
43,0.00000,0.00000,18.48967,1.00000,0.00000
44,0.00000,0.00000,18.08163,1.00000,0.00000
45,0.00000,0.00000,17.65821,1.00000,0.00000
46,0.00000,0.00000,17.16492,1.00000,0.00000
47,0.00000,0.00000,17.54477,1.00000,0.00000
48,0.00000,0.00000,17.36921,1.00000,0.00000
49,0.00000,0.00000,16.84742,1.00000,0.00000
50,0.00000,0.00000,17.88775,1.00000,0.00000
51,0.00000,0.00000,17.30379,1.00000,0.00000
52,0.00000,0.00000,17.45241,1.00000,0.00000
53,0.00000,0.00000,18.15962,1.00000,0.00000
54,0.00000,0.00000,17.64875,1.00000,0.00000
55,0.00000,0.00000,17.46843,1.00000,0.00000
56,0.00000,0.00000,17.61749,1.00000,0.00000
57,0.00000,0.00000,16.91622,1.00000,0.00000
58,0.00000,0.00000,18.03031,1.00000,0.00000
59,0.00000,0.00000,17.31439,1.00000,0.00000
60,0.00000,0.00000,17.29216,1.00000,0.00000
61,0.00000,0.00000,17.80650,1.00000,0.00000
62,0.00000,0.00000,17.59474,1.00000,0.00000
63,0.00000,0.00000,17.66296,1.00000,0.00000
64,0.00000,0.00000,16.98500,1.00000,0.00000
65,0.00000,0.00000,17.66790,1.00000,0.00000
66,0.00000,0.00000,17.16331,1.00000,0.00000
67,0.00000,0.00000,17.30480,1.00000,0.00000
68,0.00000,0.00000,17.72198,1.00000,0.00000
69,0.00000,0.00000,17.54573,1.00000,0.00000
70,0.00000,0.00000,17.51121,1.00000,0.00000
71,0.00000,0.00000,17.73084,1.00000,0.00000
72,0.00000,0.00000,17.76295,1.00000,0.00000
73,0.00000,0.00000,17.60189,1.00000,0.00000
74,0.00000,0.00000,17.61846,1.00000,0.00000
75,0.00000,0.00000,17.42424,1.00000,0.00000
76,0.00000,0.00000,17.75254,1.00000,0.00000
77,0.00000,0.00000,17.55517,1.00000,0.00000
78,0.00000,0.00000,17.90401,1.00000,0.00000
79,0.00000,0.00000,17.15640,1.00000,0.00000
80,0.00000,0.00000,17.35984,1.00000,0.00000
81,0.00000,0.00000,17.53912,1.00000,0.00000
82,0.00000,0.00000,17.01911,1.00000,0.00000
83,0.00000,0.00000,17.21647,1.00000,0.00000
84,0.00000,0.00000,17.09935,1.00000,0.00000
85,0.00000,0.00000,17.33177,1.00000,0.00000
86,0.00000,0.00000,17.85340,1.00000,0.00000
87,0.00000,0.00000,18.44541,1.00000,0.00000
88,0.00000,0.00000,17.89840,1.00000,0.00000
89,0.00000,0.00000,16.47881,1.00000,0.00000
90,0.00000,0.00000,17.31722,1.00000,0.00000
91,0.00000,0.00000,17.53813,1.00000,0.00000
92,0.00000,0.00000,17.55909,1.00000,0.00000
93,0.00000,0.00000,17.57437,1.00000,0.00000
94,0.00000,0.00000,17.42390,1.00000,0.00000
95,0.00000,0.00000,16.99731,1.00000,0.00000
96,0.00000,0.00000,17.86876,1.00000,0.00000
97,0.00000,0.00000,17.76823,1.00000,0.00000
98,0.00000,0.00000,17.91895,1.00000,0.00000
99,0.00000,0.00000,17.21468,1.00000,0.00000
100,0.00000,0.00000,17.83026,1.00000,0.00000
101,0.00000,0.00000,17.15028,1.00000,0.00000
102,0.00000,0.00000,17.48018,1.00000,0.00000
103,0.00000,0.00000,17.99500,1.00000,0.00000
104,0.00000,0.00000,18.04054,1.00000,0.00000
105,0.00000,0.00000,18.30158,1.00000,0.00000
106,0.00000,0.00000,17.43999,1.00000,0.00000
107,0.00000,0.00000,16.99531,1.00000,0.00000
108,0.00000,0.00000,17.84794,1.00000,0.00000
109,0.00000,0.00000,17.42365,1.00000,0.00000
110,0.00000,0.00000,17.26521,1.00000,0.00000
111,0.00000,0.00000,17.20091,1.00000,0.00000
112,0.00000,0.00000,18.20785,1.00000,0.00000
113,0.00000,0.00000,17.33522,1.00000,0.00000
114,0.00000,0.00000,17.66259,1.00000,0.00000
115,0.00000,0.00000,17.39475,1.00000,0.00000
116,0.00000,0.00000,17.58172,1.00000,0.00000
117,0.00000,0.00000,17.41174,1.00000,0.00000
118,0.00000,0.00000,18.17109,1.00000,0.00000
119,0.00000,0.00000,17.57182,1.00000,0.00000
120,0.00000,0.00000,17.65798,1.00000,0.00000
121,0.00000,0.00000,17.78717,1.00000,0.00000
122,0.00000,0.00000,17.60859,1.00000,0.00000
123,0.00000,0.00000,17.62821,1.00000,0.00000
124,0.00000,0.00000,17.51435,1.00000,0.00000
125,0.00000,0.00000,17.78171,1.00000,0.00000
126,0.00000,0.00000,17.84085,1.00000,0.00000
127,0.00000,0.00000,17.98922,1.00000,0.00000
128,0.00000,0.00000,17.58507,1.00000,0.00000
129,1.00000,0.00000,17.87661,1.00000,0.00000
130,1.00000,0.00000,17.43971,1.00000,0.00000
131,1.00000,0.00000,17.16417,1.00000,0.00000
132,1.00000,0.00000,18.15739,1.00000,0.00000
133,1.00000,0.00000,17.44487,1.00000,0.00000
