minute,air_C,product_C,compressor_duty,door_heat,load_heat,ambient_C,mode
0,5.15000,5.05000,0.00000,0.00000,0.00000,18.01090,3
1,5.17953,5.05040,0.00000,0.00000,0.00000,17.95658,3
2,5.20855,5.05092,0.14191,0.00000,0.00000,18.30496,2
3,5.22667,5.05155,0.09874,0.00000,0.00000,17.31970,2
4,5.24566,5.05225,0.10905,0.00000,0.00000,17.28659,2
5,5.26350,5.05302,0.11891,0.00000,0.00000,18.17588,2
6,5.28244,5.05386,0.12959,0.00000,0.00000,17.81122,2
7,5.29942,5.05478,0.13938,0.00000,0.00000,17.67896,2
8,5.31509,5.05576,0.14885,0.00000,0.00000,17.56326,2
9,5.32952,5.05679,0.15797,0.00000,0.00000,17.87147,2
10,5.34378,5.05788,0.16724,0.00000,0.00000,18.03518,2
11,5.35751,5.05903,0.17640,0.00000,0.00000,17.24584,2
12,5.36846,5.06022,0.18435,0.00000,0.00000,17.16320,2
13,5.37845,5.06145,0.19215,0.00000,0.00000,17.14570,2
14,5.38765,5.06272,0.19974,0.00000,0.00000,18.16877,2
15,5.39857,5.06402,0.20834,0.00000,0.00000,17.54139,2
16,5.40718,5.06536,0.21576,0.00000,0.00000,17.37612,2
17,5.41470,5.06673,0.22290,0.00000,0.00000,17.05380,2
18,5.42080,5.06812,0.22949,0.00000,0.00000,17.39374,2
19,5.42711,5.06953,0.23637,0.00000,0.00000,17.65976,2
20,5.43344,5.07096,0.24330,0.00000,0.00000,17.14508,2
21,5.43792,5.07241,0.24937,0.00000,0.00000,18.24177,2
22,5.44448,5.07387,0.25667,0.00000,0.00000,17.30857,2
23,5.44817,5.07536,0.26243,0.00000,0.00000,17.47301,2
24,5.45175,5.07685,0.26841,0.00000,0.00000,17.32324,2
25,5.45447,5.07835,0.27400,0.00000,0.00000,17.94655,2
26,5.45820,5.07985,0.28020,0.00000,0.00000,17.98035,2
27,5.46149,5.08136,0.28612,0.00000,0.00000,17.57351,2
28,5.46331,5.08288,0.29138,0.00000,0.00000,17.56063,2
29,5.46466,5.08441,0.29655,0.00000,0.00000,17.31022,2
30,5.46501,5.08593,0.30126,0.00000,0.00000,17.16320,2
31,5.46464,5.08744,0.30570,0.00000,0.00000,16.78965,2
32,5.46305,5.08895,0.30958,0.00000,0.00000,17.45676,2
33,5.46277,5.09045,0.31420,0.00000,0.00000,17.68513,2
34,5.46269,5.09194,0.31881,0.00000,0.00000,17.65740,2
35,5.46219,5.09342,0.32319,0.00000,0.00000,17.72507,2
36,5.46153,5.09490,0.32752,0.00000,0.00000,17.48523,2
37,5.45997,5.09636,0.33141,0.00000,0.00000,17.73468,2
38,5.45873,5.09782,0.33551,0.00000,0.00000,17.68508,2
39,5.45707,5.09926,0.33937,0.00000,0.00000,17.25189,2
40,5.45412,5.10069,0.34260,0.00000,0.00000,17.09470,2
41,5.45058,5.10211,0.34561,0.00000,0.00000,17.21302,2
42,5.44715,5.10350,0.34868,0.00000,0.00000,17.71897,2
43,5.44474,5.10487,0.35222,0.00000,0.00000,17.30427,2
44,5.44111,5.10623,0.35505,0.00000,0.00000,17.80109,2
45,5.43849,5.10757,0.35844,0.00000,0.00000,17.63982,2
46,5.43527,5.10890,0.36142,0.00000,0.00000,18.09026,2
