t,before,after
0,0,0
0.07512520868,0.06975376641,0.09529183532
0.1502504174,0.129776357,0.1766338834
0.225375626,0.181425344,0.2461588454
0.3005008347,0.2258689083,0.3056722694
0.3756260434,0.2641122605,0.3567027474
0.4507512521,0.2970203771,0.4005444113
0.5258764608,0.3253375635,0.4382929071
0.6010016694,0.3497042891,0.4708758498
0.6761268781,0.3706716729,0.4990786052
0.7512520868,0.3887139487,0.523566116
0.8263772955,0.4042391912,0.544901378
0.9015025042,0.4175985454,0.5635610825
0.9766277129,0.429094169,0.5799488579
1.051752922,0.4389860665,0.5944064793
1.12687813,0.4474979699,0.6072233586
1.202003339,0.4548223986,0.6186445781
1.277128548,0.4611250143,0.6288776918
1.352253756,0.4665483676,0.6380984825
1.427378965,0.4712151223,0.6464558364
1.502504174,0.4752308296,0.6540758687
1.577629382,0.4786863154,0.6610654171
1.652754591,0.481659735,0.667514999
1.7278798,0.4842183401,0.6735013145
1.803005008,0.4864200005,0.6790893658
1.878130217,0.4883145128,0.6843342517
1.953255426,0.4899447263,0.6892826856
2.028380634,0.4913475127,0.6939742823
2.103505843,0.4925545998,0.6984426457
2.178631052,0.4935932893,0.7027162904
2.25375626,0.4944870737,0.7068194225
2.328881469,0.4952561684,0.7107725989
2.404006678,0.4959179687,0.7145932873
2.479131886,0.4964874428,0.7182963391
2.554257095,0.496977471,0.7218943903
2.629382304,0.4973991365,0.7253982004
2.704507513,0.4977619766,0.7288169399
2.779632721,0.4980741977,0.7321584332
2.85475793,0.4983428616,0.7354293647
2.929883139,0.4985740449,0.7386354526
3.005008347,0.4987729764,0.7417815971
3.080133556,0.4989441554,0.7448720044
3.155258765,0.4990914537,0.7479102934
3.230383973,0.4992182028,0.7508995844
3.305509182,0.4993272694,0.7538425753
3.380634391,0.4994211204,0.756741606
3.455759599,0.4995018784,0.7595987121
3.530884808,0.4995713701,0.7624156714
3.606010017,0.4996311672,0.7651940427
3.681135225,0.4996826222,0.7679351988
3.756260434,0.4997268988,0.7706403543
3.831385643,0.4997649985,0.7733105895
3.906510851,0.4997977829,0.7759468702
3.98163606,0.4998259937,0.7785500649
4.056761269,0.4998502689,0.7811209587
4.131886477,0.4998711575,0.7836602661
4.207011686,0.499889132,0.7861686409
4.282136895,0.4999045989,0.788646685
4.357262104,0.4999179081,0.7910949558
4.432387312,0.4999293606,0.7935139726
4.507512521,0.4999392153,0.7959042217
4.58263773,0.4999476952,0.798266161
4.657762938,0.4999549921,0.800600224
4.732888147,0.4999612711,0.8029068227
4.808013356,0.499966674,0.8051863507
4.883138564,0.4999713233,0.8074391853
4.958263773,0.4999753239,0.8096656894
5.033388982,0.4999787664,0.8118662135
5.10851419,0.4999817286,0.8140410969
5.183639399,0.4999842776,0.816190669
5.258764608,0.499986471,0.8183152503
5.333889816,0.4999883584,0.8204151532
5.409015025,0.4999899825,0.8224906831
5.484140234,0.49999138,0.8245421384
5.559265442,0.4999925826,0.8265698119
5.634390651,0.4999936174,0.8285739904
5.70951586,0.4999945078,0.8305549557
5.784641068,0.499995274,0.8325129847
5.859766277,0.4999959333,0.83444835
5.934891486,0.4999965006,0.8363613195
6.010016694,0.4999969888,0.8382521574
6.085141903,0.4999974089,0.8401211239
6.160267112,0.4999977704,0.8419684754
6.235392321,0.4999980814,0.8437944649
6.310517529,0.4999983491,0.845599342
6.385642738,0.4999985794,0.8473833528
6.460767947,0.4999987776,0.8491467405
6.535893155,0.4999989481,0.8508897449
6.611018364,0.4999990949,0.852612603
6.686143573,0.4999992211,0.8543155487
6.761268781,0.4999993298,0.8559988131
6.83639399,0.4999994233,0.8576626244
6.911519199,0.4999995037,0.8593072082
6.986644407,0.499999573,0.8609327871
7.061769616,0.4999996326,0.8625395812
7.136894825,0.4999996838,0.8641278082
7.212020033,0.4999997279,0.8656976827
7.287145242,0.4999997659,0.8672494173
7.362270451,0.4999997985,0.8687832216
7.437395659,0.4999998266,0.8702993033
7.512520868,0.4999998508,0.8717978671
7.587646077,0.4999998716,0.8732791157
7.662771285,0.4999998895,0.8747432492
7.737896494,0.499999905,0.8761904655
7.813021703,0.4999999182,0.8776209602
7.888146912,0.4999999296,0.8790349265
7.96327212,0.4999999394,0.8804325556
8.038397329,0.4999999479,0.8818140361
8.113522538,0.4999999552,0.8831795548
8.188647746,0.4999999614,0.8845292961
8.263772955,0.4999999668,0.8858634423
8.338898164,0.4999999714,0.8871821737
8.414023372,0.4999999754,0.8884856683
8.489148581,0.4999999788,0.8897741023
8.56427379,0.4999999818,0.8910476497
8.639398998,0.4999999843,0.8923064824
8.714524207,0.4999999865,0.8935507705
8.789649416,0.4999999884,0.8947806822
8.864774624,0.49999999,0.8959963834
8.939899833,0.4999999914,0.8971980384
9.015025042,0.4999999926,0.8983858094
9.09015025,0.4999999936,0.899559857
9.165275459,0.4999999945,0.9007203396
9.240400668,0.4999999953,0.901867414
9.315525876,0.4999999959,0.9030012351
9.390651085,0.4999999965,0.9041219561
9.465776294,0.499999997,0.9052297283
9.540901503,0.4999999974,0.9063247013
9.616026711,0.4999999978,0.907407023
9.69115192,0.4999999981,0.9084768396
9.766277129,0.4999999984,0.9095342955
9.841402337,0.4999999986,0.9105795337
9.916527546,0.4999999988,0.9116126951
9.991652755,0.499999999,0.9126339195
10.06677796,0.4999999991,0.9136433447
10.14190317,0.4999999992,0.9146411069
10.21702838,0.4999999993,0.9156273411
10.29215359,0.4999999994,0.9166021803
10.3672788,0.4999999995,0.9175657563
10.44240401,0.4999999996,0.9185181992
10.51752922,0.4999999996,0.9194596375
10.59265442,0.4999999997,0.9203901985
10.66777963,0.4999999997,0.9213100078
10.74290484,0.4999999998,0.9222191897
10.81803005,0.4999999998,0.9231178669
10.89315526,0.4999999998,0.9240061608
10.96828047,0.4999999999,0.9248841914
11.04340568,0.4999999999,0.9257520773
11.11853088,0.4999999999,0.9266099356
11.19365609,0.4999999999,0.9274578822
11.2687813,0.4999999999,0.9282960317
11.34390651,0.4999999999,0.9291244973
11.41903172,0.4999999999,0.9299433908
11.49415693,0.4999999999,0.9307528228
11.56928214,0.5,0.9315529026
