t,k2,k5,k8,pid
0,0,0,0,0
0.03337969402,1.206731533e-05,3.016826038e-05,4.826917191e-05,0.001318584271
0.06675938804,9.398424504e-05,0.0002349588785,0.0003759314312,0.005200668969
0.1001390821,0.0003088524086,0.0007721118664,0.001235348338,0.01153617619
0.1335187761,0.0007129438595,0.001782255264,0.002851441411,0.02021565308
0.1668984701,0.00135624365,0.003390222887,0.005423738672,0.03113034663
0.2002781641,0.002282949378,0.005706254685,0.009128217647,0.04417227912
0.2336578581,0.003531931258,0.008827091305,0.0141189678,0.05923432377
0.2670375522,0.005137155947,0.01283697333,0.02052969298,0.07621028053
0.3004172462,0.007128077114,0.01780855466,0.02847507237,0.09499495162
0.3337969402,0.009529995466,0.02380373857,0.03805199636,0.1154842167
0.3671766342,0.01236439074,0.0308744442,0.04934069231,0.1375751071
0.4005563282,0.01564922793,0.03906331041,0.06240575325,0.16116588
0.4339360223,0.01939923992,0.04840434326,0.07729708143,0.1861560905
0.4673157163,0.02362618833,0.05892351289,0.09405075726,0.2124466629
0.5006954103,0.02833910447,0.07063930479,0.112689843,0.2399399612
0.5340751043,0.03354451189,0.08356323014,0.1332251298,0.2685398565
0.5674547983,0.03924663222,0.09770029928,0.1556558349,0.2981517945
0.6008344924,0.04544757532,0.1130494622,0.1799702567,0.3286828591
0.6342141864,0.05214751541,0.1296040193,0.2061463924,0.3600418359
0.6675938804,0.05934485395,0.1473520053,0.2341525239,0.392139272
0.7009735744,0.06703637053,0.166276549,0.2639477769,0.4248875341
0.7343532684,0.0752173627,0.1863562122,0.2954826564,0.4582008647
0.7677329624,0.08388177558,0.2075653081,0.3286995626,0.4919954343
0.8011126565,0.09302232205,0.2298742031,0.36353329,0.5261893929
0.8344923505,0.1026305943,0.2532496023,0.3999115128,0.5607029172
0.8678720445,0.1126971676,0.2776548211,0.437755258,0.5954582557
0.9012517385,0.1232116963,0.3030500437,0.476979369,0.6303797713
0.9346314325,0.1341630034,0.3293925703,0.5174929605,0.6653939801
0.9680111266,0.1455391638,0.3566370534,0.5591998673,0.700429588
1.001390821,0.1573275817,0.3847357246,0.601999086,0.7354175241
1.034770515,0.1695150629,0.4136386131,0.6457852128,0.7702909707
1.068150209,0.1820878816,0.4432937551,0.6904488769,0.804985391
1.101529903,0.1950318433,0.4736473973,0.735877169,0.8394385527
1.134909597,0.2083323434,0.5046441921,0.7819540681,0.8735905496
1.168289291,0.2219744212,0.5362273876,0.8285608633,0.9073838193
