t,u_raw,u_sat,u_rate,ref,psi,x,y
0,0,0,0,72,0,0,0
0.04,547.2,16,0.2,72,0.04902912,0.11999996,0.00010268634
0.08,222.82738,16,0.4,72,0.11776208,0.2399997,0.0003493265
0.12,222.52564,16,0.6,72,0.20606677,0.35999893,0.0007809108
0.16,222.16382,16,0.8,72,0.31380638,0.47999713,0.0014381421
0.2,221.74237,16,1,72,0.44083949,0.59999357,0.002361425
0.24,221.26175,16,1.2,72,0.58702014,0.71998728,0.0035908556
0.28,220.72242,16,1.4,72,0.7521979,0.83997694,0.0051662099
0.32,220.12489,16,1.6,72,0.93621789,0.95996092,0.0071269329
0.36,219.46963,16,1.8,72,1.1389209,1.0799372,0.0095121262
0.4,218.75718,16,2,72,1.3601435,1.1999034,0.012360537
0.44,217.98805,16,2.2,72,1.599718,1.3198566,0.015710543
0.48,217.16279,16,2.4,72,1.8574725,1.4397936,0.019600143
0.52,216.28194,16,2.6,72,2.1332312,1.5597104,0.02406694
0.56,215.34607,16,2.8,72,2.4268142,1.6796028,0.029148128
0.6,214.35575,16,3,72,2.7380377,1.7994658,0.034880478
0.64,213.31158,16,3.2,72,3.066714,1.9192939,0.041300323
0.68,212.21414,16,3.4,72,3.4126518,2.0390811,0.048443539
0.72,211.06406,16,3.6,72,3.775656,2.1588207,0.056345532
0.76,209.86195,16,3.8,72,4.1555277,2.2785052,0.065041221
0.8,208.60844,16,4,72,4.5520648,2.3981267,0.074565016
0.84,207.30418,16,4.2,72,4.9650615,2.5176764,0.084950807
0.88,205.94982,16,4.4,72,5.3943086,2.637145,0.096231937
0.92,204.54603,16,4.6,72,5.8395937,2.7565222,0.10844119
0.96,203.09348,16,4.8,72,6.3007012,2.8757974,0.12161077
1,201.59284,16,5,72,6.7774121,2.9949588,0.13577227
1.04,200.04482,16,5.2,72,7.2695046,3.1139943,0.15095667
1.08,198.45012,16,5.4,72,7.7767537,3.2328906,0.1671943
1.12,196.80944,16,5.6,72,8.2989316,3.351634,0.18451483
1.16,195.12351,16,5.8,72,8.8358077,3.4702099,0.20294724
1.2,193.39305,16,6,72,9.3871484,3.588603,0.2225198
1.24,191.61881,16,6.2,72,9.9527177,3.7067971,0.24326005
1.28,189.80151,16,6.4,72,10.532277,3.8247753,0.26519478
1.32,187.94193,16,6.6,72,11.125585,3.9425201,0.28834999
1.36,186.0408,16,6.8,72,11.732397,4.0600131,0.31275091
1.4,184.09891,16,7,72,12.352469,4.1772351,0.33842191
1.44,182.11702,16,7.2,72,12.985551,4.2941663,0.36538655
1.48,180.09592,16,7.4,72,13.631394,4.4107861,0.3936675
1.52,178.03639,16,7.6,72,14.289743,4.5270733,0.42328657
1.56,175.93922,16,7.8,72,14.960346,4.6430059,0.45426463
1.6,173.80521,16,8,72,15.642946,4.7585612,0.48662163
1.64,171.63517,16,8.2,72,16.337283,4.8737159,0.52037657
1.68,169.4299,16,8.4,72,17.043098,4.988446,0.55554749
1.72,167.19023,16,8.6,72,17.760129,5.1027271,0.59215141
1.76,164.91696,16,8.8,72,18.488113,5.2165338,0.63020436
1.8,162.61093,16,9,72,19.226783,5.3298405,0.66972132
1.84,160.27295,16,9.2,72,19.975875,5.4426209,0.71071626
1.88,157.90388,16,9.4,72,20.73512,5.5548482,0.75320204
1.92,155.50453,16,9.6,72,21.504248,5.666495,0.79719046
1.96,153.07575,16,9.8,72,22.28299,5.7775337,0.84269224
2,150.61839,16,10,72,23.071075,5.887936,0.88971696
2.04,148.13329,16,10.2,72,23.868228,5.9976734,0.93827311
2.08,145.6213,16,10.4,72,24.674178,6.106717,0.98836802
2.12,143.08327,16,10.6,72,25.48865,6.2150375,1.0400079
2.16,140.52006,16,10.8,72,26.311369,6.3226053,1.0931978
2.2,137.93252,16,11,72,27.142059,6.4293907,1.1479416
2.24,135.32152,16,11.2,72,27.980443,6.5353636,1.204242
2.28,132.6879,16,11.4,72,28.826244,6.6404939,1.2621006
2.32,130.03254,16,11.6,72,29.679186,6.7447513,1.3215178
2.36,127.35629,16,11.8,72,30.538989,6.8481053,1.3824927
2.4,124.66002,16,12,72,31.405377,6.9505255,1.4450235
2.44,121.94459,16,12.2,72,32.27807,7.0519815,1.5091069
2.48,119.21087,16,12.4,72,33.15679,7.1524427,1.5747388
2.52,116.45971,16,12.6,72,34.041258,7.2518789,1.6419135
2.56,113.69199,16,12.8,72,34.931196,7.3502597,1.7106246
2.6,110.90857,16,13,72,35.826325,7.4475551,1.7808643
2.64,108.11031,16,13.2,72,36.726366,7.5437352,1.8526235
2.68,105.29808,16,13.4,72,37.631042,7.6387703,1.9258925
2.72,102.47273,16,13.6,72,38.540075,7.732631,2.0006599
2.76,99.63512,16,13.8,72,39.453187,7.8252883,2.0769136
2.8,96.786118,16,14,72,40.370101,7.9167134,2.1546403
2.84,93.926575,16,14.2,72,41.29054,8.0068782,2.2338256
2.88,91.057347,16,14.4,72,42.21423,8.0957547,2.3144541
2.92,88.179287,16,14.6,72,43.140893,8.1833157,2.3965095
2.96,85.293244,16,14.8,72,44.070257,8.2695342,2.4799743
3,82.400065,16,15,72,45.002048,8.3543839,2.5648301
3.04,79.500596,16,15.2,72,45.935992,8.4378393,2.6510577
3.08,76.595678,16,15.4,72,46.871817,8.5198753,2.7386369
3.12,73.686149,16,15.6,72,47.809255,8.6004674,2.8275464
3.16,70.772844,16,15.8,72,48.748033,8.679592,2.9177645
3.2,67.856592,16,16,72,49.687885,8.7572261,3.0092683
3.24,64.938223,16,16,72,50.628543,8.8333476,3.1020343
3.28,62.018557,16,16,72,51.569741,8.9079349,3.1960381
3.32,59.098413,16,16,72,52.511214,8.9809677,3.2912548
3.36,56.178606,16,16,72,53.4527,9.052426,3.3876587
3.4,53.259945,16,16,72,54.393936,9.1222911,3.4852233
3.44,50.343233,16,16,72,55.334664,9.1905449,3.5839219
3.48,47.429269,16,16,72,56.274624,9.2571705,3.6837269
3.52,44.518848,16,16,72,57.213559,9.3221516,3.7846103
3.56,41.612757,16,16,72,58.151216,9.3854731,3.8865436
3.6,38.711778,16,16,72,59.08734,9.4471208,3.9894977
3.64,35.816688,16,16,72,60.02168,9.5070815,4.0934435
3.68,32.928258,16,16,72,60.953988,9.5653429,4.1983511
