t,u_raw,u_sat,u_rate,ref,psi,x,y
0,0,0,0,72,0,0,0
0.04,547.2,16,0.2,72,0.0014336,0.12,3.0025248e-06
0.08,223.1891,16,0.4,72,0.0042931541,0.24,1.1994086e-05
0.12,223.17382,16,0.6,72,0.0085710573,0.36,2.9945266e-05
0.16,223.15418,16,0.8,72,0.014259745,0.47999999,5.9810806e-05
0.2,223.1302,16,1,72,0.021351693,0.59999999,0.00010452969
0.24,223.1019,16,1.2,72,0.029839417,0.71999997,0.00016702521
0.28,223.0693,16,1.4,72,0.039715474,0.83999994,0.0002502051
0.32,223.03244,16,1.6,72,0.050972458,0.95999989,0.00035696155
0.36,222.99133,16,1.8,72,0.063603005,1.0799998,0.00049017135
0.4,222.94599,16,2,72,0.077599789,1.1999997,0.00065269591
0.44,222.89646,16,2.2,72,0.092955523,1.3199996,0.00084738142
0.48,222.84274,16,2.4,72,0.10966296,1.4399993,0.0010770588
0.52,222.78486,16,2.6,72,0.12771489,1.559999,0.0013445441
0.56,222.72285,16,2.8,72,0.14710415,1.6799986,0.0016526379
0.6,222.65673,16,3,72,0.16782359,1.7999981,0.0020041263
0.64,222.58651,16,3.2,72,0.18986613,1.9199975,0.0024017803
0.68,222.51222,16,3.4,72,0.21322471,2.0399966,0.0028483561
0.72,222.43389,16,3.6,72,0.23789231,2.1599956,0.0033465951
0.76,222.35153,16,3.8,72,0.26386195,2.2799943,0.0038992244
0.8,222.26516,16,4,72,0.29112669,2.3999928,0.004508956
0.84,222.17482,16,4.2,72,0.31967961,2.5199909,0.005178488
0.88,222.08051,16,4.4,72,0.34951386,2.6399887,0.0059105036
0.92,221.98225,16,4.6,72,0.38062258,2.759986,0.0067076718
0.96,221.88008,16,4.8,72,0.412999,2.8799829,0.0075726474
1,221.77401,16,5,72,0.44663633,2.9999793,0.0085080708
1.04,221.66406,16,5.2,72,0.48152787,3.119975,0.0095165686
1.08,221.55025,16,5.4,72,0.51766693,3.2399701,0.010600753
1.12,221.43261,16,5.6,72,0.55504683,3.3599645,0.011763222
1.16,221.31115,16,5.8,72,0.59366098,3.4799581,0.013006561
1.2,221.18589,16,6,72,0.63350279,3.5999507,0.014333339
1.24,221.05685,16,6.2,72,0.67456571,3.7199424,0.015746113
1.28,220.92406,16,6.4,72,0.71684323,3.839933,0.017247427
1.32,220.78754,16,6.6,72,0.76032886,3.9599224,0.018839809
1.36,220.6473,16,6.8,72,0.80501618,4.0799106,0.020525776
1.4,220.50336,16,7,72,0.85089876,4.1998974,0.022307828
1.44,220.35574,16,7.2,72,0.89797023,4.3198826,0.024188456
1.48,220.20447,16,7.4,72,0.94622426,4.4398663,0.026170133
1.52,220.04956,16,7.6,72,0.99565453,4.5598482,0.028255322
1.56,219.89103,16,7.8,72,1.0462548,4.6798281,0.030446471
1.6,219.72891,16,8,72,1.0980187,4.7998061,0.032746016
1.64,219.5632,16,8.2,72,1.1509402,4.9197819,0.035156377
1.68,219.39394,16,8.4,72,1.2050131,5.0397554,0.037679965
1.72,219.22113,16,8.6,72,1.2602312,5.1597263,0.040319174
1.76,219.0448,16,8.8,72,1.3165883,5.2796947,0.043076387
1.8,218.86497,16,9,72,1.3740785,5.3996601,0.045953975
1.84,218.68165,16,9.2,72,1.4326957,5.5196226,0.048954293
1.88,218.49487,16,9.4,72,1.4924339,5.6395819,0.052079686
1.92,218.30463,16,9.6,72,1.553287,5.7595378,0.055332484
1.96,218.11097,16,9.8,72,1.6152492,5.8794902,0.058715006
2,217.9139,16,10,72,1.6783146,5.9994387,0.062229557
2.04,217.71343,16,10.2,72,1.7424771,6.1193832,0.06587843
