t,psi_ref,psi,psi_meas,x,y,cmd,delta
0,0.0042445316,0,0,0,0,0,0
0.05,0.0043129781,2.0858897e-08,0,0.16,5.8249028e-11,0.0086259561,0.00017970742
0.1,0.004382528,8.3142981e-08,2.0858897e-08,0.32,2.9042803e-10,0.0087616769,0.00035849845
0.15,0.0044531993,2.0712803e-07,8.3142981e-08,0.48,8.688386e-10,0.0088962669,0.00053636862
0.2,0.00452501,4.128015e-07,2.0712803e-07,0.64,2.0215978e-09,0.0090297682,0.00071331445
0.25,0.0045979785,7.1986479e-07,4.128015e-07,0.8,4.0318396e-09,0.0091622236,0.00088933339
0.3,0.0046721234,1.1477356e-06,7.1986479e-07,0.96,7.2369221e-09,0.0092936769,0.0010644239
0.35,0.0047474637,1.7155506e-06,1.1477356e-06,1.12,1.2027643e-08,0.0094241726,0.0012385853
0.4,0.0048240186,2.4421675e-06,1.7155506e-06,1.28,1.8847461e-08,0.0095537558,0.001411818
0.45,0.0049018078,3.3461682e-06,2.4421675e-06,1.44,2.8191726e-08,0.0096824726,0.0015841233
0.5,0.0049808511,4.4458613e-06,3.3461682e-06,1.6,4.0606913e-08,0.0098103698,0.0017555035
0.55,0.0050611688,5.7592848e-06,4.4458613e-06,1.76,5.668987e-08,0.0099374949,0.0019259616
0.6,0.0051427813,7.3042092e-06,5.7592848e-06,1.92,7.708707e-08,0.010063896,0.0020955019
0.65,0.0052257095,9.0981404e-06,7.3042092e-06,2.08,1.0249387e-07,0.010189623,0.0022641294
0.7,0.0053099747,1.1158323e-05,9.0981404e-06,2.24,1.3365379e-07,0.010314724,0.0024318502
0.75,0.0053955983,1.3501742e-05,1.1158323e-05,2.4,1.7135776e-07,0.010439251,0.002598671
0.8,0.0054826023,1.6145129e-05,1.3501742e-05,2.56,2.1644347e-07,0.010563254,0.0027645998
0.85,0.005571009,1.9104962e-05,1.6145129e-05,2.72,2.6979459e-07,0.010686786,0.0029296454
0.9,0.0056608408,2.2397472e-05,1.9104962e-05,2.88,3.3234013e-07,0.010809898,0.0030938173
0.95,0.0057521208,2.6038644e-05,2.2397472e-05,3.04,4.0505374e-07,0.010932645,0.0032571262
1,0.0058448724,3.0044222e-05,2.6038644e-05,3.2,4.8895303e-07,0.01105508,0.0034195836
1.05,0.0059391192,3.442971e-05,3.0044222e-05,3.36,5.8509892e-07,0.011177257,0.0035812018
1.1,0.0060348852,3.9210381e-05,3.442971e-05,3.52,6.9459496e-07,0.011299233,0.0037419941
1.15,0.0061321951,4.4401275e-05,3.9210381e-05,3.68,8.1858671e-07,0.011421062,0.0039019747
1.2,0.0062310737,5.0017207e-05,4.4401275e-05,3.84,9.582611e-07,0.011542802,0.0040611586
1.25,0.0063315462,5.6072766e-05,5.0017207e-05,4,1.1148458e-06,0.011664509,0.0042195617
1.3,0.0064336383,6.2582327e-05,5.6072766e-05,4.16,1.2896086e-06,0.011786242,0.0043772009
1.35,0.0065373762,6.9560045e-05,6.2582327e-05,4.32,1.4838569e-06,0.011908058,0.0045340937
1.4,0.0066427863,7.7019866e-05,6.9560045e-05,4.48,1.698937e-06,0.012030018,0.0046902588
1.45,0.0067498956,8.4975532e-05,7.7019866e-05,4.64,1.9362334e-06,0.01215218,0.0048457155
1.5,0.0068587314,9.3440578e-05,8.4975532e-05,4.8,2.1971687e-06,0.012274605,0.005000484
1.55,0.0069693216,0.00010242834,9.3440578e-05,4.96,2.4832026e-06,0.012397355,0.0051545855
1.6,0.0070816944,0.00011195197,0.00010242834,5.12,2.7958315e-06,0.01252049,0.0053080419
1.65,0.0071958785,0.00012202442,0.00011195197,5.28,3.136588e-06,0.012644072,0.0054608758
1.7,0.0073119032,0.00013265846,0.00012202442,5.44,3.5070403e-06,0.012768166,0.005613111
1.75,0.0074297981,0.00014386668,0.00013265846,5.6,3.9087918e-06,0.012892833,0.0057647719
1.8,0.0075495933,0.00015566148,0.00014386668,5.76,4.3434807e-06,0.013018139,0.0059158837
1.85,0.0076713194,0.00016805513,0.00015566148,5.92,4.8127791e-06,0.013144146,0.0060664725
1.9,0.0077950075,0.00018105968,0.00016805513,6.08,5.3183931e-06,0.013270922,0.0062165652
1.95,0.0079206892,0.00019468705,0.00018105968,6.24,5.8620619e-06,0.013398531,0.0063661895
