t,x,y,psi_ref,u,delta
0,0,0,0,0,0
0.08,0.36,0,0,3.796557,3.36
0.16,0.72,0,0,6.9593676,6.72
0.24,1.08,0,0,9.0301052,9.0301052
0.32,1.44,0,0,9.7211151,9.7211151
0.4,1.8,0,0,8.9458443,8.9458443
0.48,2.16,0,0,6.8161985,6.8161985
0.56,2.52,0,0,3.634211,3.634211
0.64,2.88,0,0,-0.15037427,0.27421098
0.72,3.24,0,0,-4.015969,-3.085789
0.8,3.6,0,0,-7.4208142,-6.445789
0.88,3.96,0,0,-9.8737424,-9.805789
0.96,4.32,0,0,-11.003161,-11.003161
1.04,4.68,0,0,-10.673946,-10.673946
1.12,5.04,0,0,-8.9317741,-8.9317741
1.2,5.4,0,0,-6.0187492,-6.0187492
1.28,5.76,0,0,-2.3414963,-2.6587492
1.36,6.12,0,0,1.5954438,0.70125077
1.44,6.48,0,0,5.2503121,4.0612508
1.52,6.84,0,0,8.1068463,7.4212508
1.6,7.2,0,0,9.7467886,9.7467886
1.68,7.56,0,0,9.9395798,9.9395798
1.76,7.92,0,0,8.6809969,8.6809969
1.84,8.28,0,0,6.1494615,6.1494615
1.92,8.64,0,0,2.7021277,2.7894615
2,9,0,0,-1.1778899,-0.57053854
2.08,9.36,0,0,-4.9573764,-3.9305385
2.16,9.72,0,0,-8.1031165,-7.2905385
2.24,10.08,0,0,-10.156784,-10.156784
2.32,10.44,0,0,-10.814083,-10.814083
2.4,10.8,0,0,-10.006111,-10.006111
2.48,11.16,0,0,-7.8447418,-7.8447418
2.56,11.52,0,0,-4.6319803,-4.6319803
2.64,11.88,0,0,-0.81754184,-1.2719803
2.72,12.24,0,0,3.0779061,2.0880197
2.8,12.6,0,0,6.5126046,5.4480197
2.88,12.96,0,0,8.9953861,8.8080197
2.96,13.32,0,0,10.154658,10.154658
3.04,13.68,0,0,9.8508304,9.8508304
3.12,14.04,0,0,8.1332859,8.1332859
3.2,14.4,0,0,5.2441518,5.2441518
3.28,14.76,0,0,1.5900748,1.8841518
3.36,15.12,0,0,-2.3236894,-1.4758482
3.44,15.48,0,0,-5.9553817,-4.8358482
3.52,15.84,0,0,-8.7887399,-8.1958482
3.6,16.2,0,0,-10.405506,-10.405506
3.68,16.56,0,0,-10.578589,-10.578589
3.76,16.92,0,0,-9.3008866,-9.3008866
3.84,17.28,0,0,-6.7508041,-6.7508041
3.92,17.64,0,0,-3.2854782,-3.3908041
4,18,0,0,0.61253166,-0.030804062
4.08,18.36,0,0,4.4100103,3.3291959
4.16,18.72,0,0,7.5737426,6.6891959
4.24,19.08,0,0,9.6454019,9.6454019
4.32,19.44,0,0,10.318002,10.318002
4.4,19.8,0,0,9.5248724,9.5248724
4.48,20.16,0,0,7.377902,7.377902
4.56,20.52,0,0,4.1791084,4.1791084
4.64,20.88,0,0,0.37821981,0.81910839
4.72,21.24,0,0,-3.5036782,-2.5408916
4.8,21.6,0,0,-6.9248268,-5.9008916
4.88,21.96,0,0,-9.3940583,-9.2608916
4.96,22.32,0,0,-10.53978,-10.53978
5.04,22.68,0,0,-10.22443,-10.22443
5.12,23.04,0,0,-8.4957073,-8.4957073
5.2,23.4,0,0,-5.5957295,-5.5957295
5.28,23.76,0,0,-1.9311333,-2.2357295
5.36,24.12,0,0,1.9931501,1.1242705
5.44,24.48,0,0,5.6353616,4.4842705
5.52,24.84,0,0,8.479239,7.8442705
5.6,25.2,0,0,10.106525,10.106525
5.68,25.56,0,0,10.288552,10.288552
5.76,25.92,0,0,9.0195283,9.0195283
5.84,26.28,0,0,6.477864,6.477864
5.92,26.64,0,0,3.0207045,3.117864
6,27,0,0,-0.86913896,-0.24213597
6.08,27.36,0,0,-4.6584512,-3.602136
6.16,27.72,0,0,-7.8140172,-6.962136
6.24,28.08,0,0,-9.8775101,-9.8775101
6.32,28.44,0,0,-10.543166,-10.543166
6.4,28.8,0,0,-9.743299,-9.743299
6.48,29.16,0,0,-7.5897934,-7.5897934
6.56,29.52,0,0,-4.3846599,-4.3846599
6.64,29.88,0,0,-0.57762123,-1.0246599
6.72,30.24,0,0,3.3104269,2.3353401
6.8,30.6,0,0,6.7377255,5.6953401
6.88,30.96,0,0,9.2131072,9.0553401
6.96,31.32,0,0,10.364979,10.364979
7.04,31.68,0,0,10.054859,10.054859
7.12,32.04,0,0,8.3312099,8.3312099
7.2,32.4,0,0,5.4361538,5.4361538
7.28,32.76,0,0,1.7763321,2.0761538
7.36,33.12,0,0,-2.1431767,-1.2838462
7.44,33.48,0,0,-5.7806137,-4.6438462
7.52,33.84,0,0,-8.6197167,-8.0038462
7.6,34.2,0,0,-10.242228,-10.242228
7.68,34.56,0,0,-10.420195,-10.420195
7.76,34.92,0,0,-9.1472325,-9.1472325
7.84,35.28,0,0,-6.6017473,-6.6017473
7.92,35.64,0,0,-3.1408811,-3.2417473
8,36,0,0,0.75266891,0.11825275
8.08,36.36,0,0,4.5456878,3.4782527
8.16,36.72,0,0,7.7049603,6.8382527
8.24,37.08,0,0,9.7721598,9.7721598
8.32,37.44,0,0,10.440967,10.440967
8.4,37.8,0,0,9.6441586,9.6441586
8.48,38.16,0,0,7.4936192,7.4936192
8.56,38.52,0,0,4.2913633,4.2913633
8.64,38.88,0,0,0.48711603,0.93136328
8.72,39.24,0,0,-3.3981407,-2.4286367
8.8,39.6,0,0,-6.8226479,-5.7886367
8.88,39.96,0,0,-9.2952381,-9.1486367
8.96,40.32,0,0,-10.444319,-10.444319
9.04,40.68,0,0,-10.131825,-10.131825
9.12,41.04,0,0,-8.4058727,-8.4058727
9.2,41.4,0,0,-5.5085827,-5.5085827
9.28,41.76,0,0,-1.8465939,-2.1485827
9.36,42.12,0,0,2.075082,1.2114173
9.44,42.48,0,0,5.714686,4.5714173
9.52,42.84,0,-0,8.555956,7.9314173
9.6,43.2,-0,-0,10.180634,10.180634
9.68,43.56,-0,0,10.360445,10.360445
9.76,43.92,-0,0,9.0892696,9.0892696
9.84,44.28,-0,0,6.5455186,6.5455186
