t,r,y,ym,yf,feedback,e,u,delta
0,0.15,0,-0.010564702,-0.010564702,-0.010564702,0.1605647,0.34521411,0.34521411
0.02,0.15,0.0043096869,0.054629339,-0.0081940095,0.054629339,0.095370661,0.20504692,0.33400073
0.04,0.15,0.0084686085,0.037526511,-0.0065314451,0.037526511,0.11247349,0.241818,0.32662612
0.06,0.15,0.012371937,0.089066827,-0.0030551443,0.089066827,0.060933173,0.13100632,0.31097653
0.08,0.15,0.016241982,-0.002337661,-0.003029054,-0.002337661,0.15233766,0.32752597,0.31230049
0.1,0.15,0.020059737,0.0058053226,-0.002707804,0.0058053226,0.14419468,0.31001856,0.31211793
0.12,0.15,0.023858049,-0.0086073962,-0.0029223346,-0.0086073962,0.1586074,0.3410059,0.31442897
0.14,0.15,0.027672735,-0.025706656,-0.0037508554,-0.025706656,0.17570666,0.37776931,0.3194962
0.16,0.15,0.031476015,-0.015642054,-0.0041832626,-0.015642054,0.16564205,0.35613042,0.32242693
0.18,0.15,0.035178291,0.023432361,-0.0031790581,0.023432361,0.12656764,0.27212042,0.31840241
0.2,0.15,0.038827412,0.0043316511,-0.0029059414,0.0043316511,0.14566835,0.31318695,0.31798518
0.22,0.15,0.042154053,0.12618766,0.0017883714,0.12618766,0.02381234,0.051196531,0.29664209
0.24,0.15,0.045378069,0.038926863,0.003138862,0.038926863,0.11107314,0.23880724,0.2920153
0.26,0.15,0.048380572,0.095244271,0.0064881496,0.095244271,0.054755729,0.11772482,0.27807206
0.28,0.15,0.051425144,-0.015747623,0.0056795761,-0.015747623,0.16574762,0.35635739,0.28433489
0.3,0.15,0.054608169,-0.062334226,0.0032063469,-0.062334226,0.21233423,0.45651859,0.29810958
0.32,0.15,0.057528732,0.1110991,0.0071297198,0.1110991,0.038900899,0.083636933,0.28095177
0.34,0.15,0.060288105,0.074973575,0.009596769,0.074973575,0.075026425,0.16130681,0.27138017
0.36,0.15,0.063061553,0.0013920637,0.0092984161,0.0013920637,0.14860794,0.31950706,0.27523032
0.38,0.15,0.065560944,0.12934621,0.01366379,0.12934621,0.020653789,0.044405646,0.25676435
0.4,0.15,0.067860928,0.10589231,0.017017555,0.10589231,0.04410769,0.094831534,0.24380973
