t,ref,K_actual,T_actual,bias_actual,psi_traditional,psi_mpc_nominal,psi_mpc_data,u_traditional,u_mpc_nominal,u_mpc_data,err_traditional,err_mpc_nominal,err_mpc_data,r_traditional,r_mpc_nominal,r_mpc_data,K_est_data,T_est_data,bias_est_data
0,0,0.18,8,0,0,0,0,0,0.6000000000000001,0.6000000000000001,0,0,0,0,0,0,0.18,8,0
0.2,0,0.18,8,0,0,0.0005400000000000001,0.0005400000000000001,0,1.2,1.2,0,0.0005400000000000001,0.0005400000000000001,0,0.002700000000000001,0.002700000000000001,0.18,8,0
0.4,0,0.18,8,0,0,0.0021465,0.0021465,0,1.8,1.8,0,0.0021465,0.0021465,0,0.008032500000000001,0.008032500000000001,0.18,8,0
0.6000000000000001,0,0.18,8,0,0,0.005332837500000001,0.005332837500000001,0,2.4,2.4,0,0.005332837500000001,0.005332837500000001,0,0.0159316875,0.0159316875,0.18,8,0
0.8,0,0.18,8,0,0,0.0105995165625,0.0105995165625,0,3,3,0,0.0105995165625,0.0105995165625,0,0.0263333953125,0.0263333953125,0.18,8,0
1,0,0.18,8,0,0,0.0184345286484375,0.0184345286484375,0,3.600000000000001,3.600000000000001,0,0.0184345286484375,0.0184345286484375,0,0.03917506042968751,0.03917506042968751,0.18,8,0
1.2,0,0.18,8,0,0,0.02931366543222657,0.02931366543222657,0,4.200000000000001,4.200000000000001,0,0.02931366543222657,0.02931366543222657,0,0.05439568391894532,0.05439568391894532,0.18,8,0
1.4,0,0.18,8,0,0,0.04370082379642091,0.04370082379642091,0,4.800000000000001,4.800000000000001,0,0.04370082379642091,0.04370082379642091,0,0.07193579182097168,0.07193579182097168,0.18,8,0
1.6,0,0.18,8,0,0,0.06204830320151039,0.06204830320151039,0,5.4,5.4,0,0.06204830320151039,0.06204830320151039,0,0.09173739702544739,0.09173739702544739,0.18,8,0
1.8,0,0.18,8,0,0,0.08479709562147264,0.08479709562147264,0,6,6,0,0.08479709562147264,0.08479709562147264,0,0.1137439620998112,0.1137439620998112,0.18,8,0
2,0,0.18,8,0,0,0.1123771682309358,0.1123771682309358,0,6.6,6.6,0,0.1123771682309358,0.1123771682309358,0,0.1379003630473159,0.1379003630473159,0.18,8,0
2.2,0,0.18,8,0,0,0.1452077390251624,0.1452077390251624,0,7.199999999999999,7.199999999999999,0,0.1452077390251624,0.1452077390251624,0,0.164152853971133,0.164152853971133,0.18,8,0
2.4,0,0.18,8,0,0,0.1836975455495334,0.1836975455495334,0,7.799999999999999,7.799999999999999,0,0.1836975455495334,0.1836975455495334,0,0.1924490326218547,0.1924490326218547,0.18,8,0
2.6,0,0.18,8,0,0,0.2282451069107951,0.2282451069107951,0,8.399999999999999,8.399999999999999,0,0.2282451069107951,0.2282451069107951,0,0.2227378068063083,0.2227378068063083,0.18,8,0
2.8,0,0.18,8,0,0,0.2792389792380252,0.2792389792380252,0,8.999999999999998,8.999999999999998,0,0.2792389792380252,0.2792389792380252,0,0.2549693616361506,0.2549693616361506,0.18,8,0
3,0,0.18,8,0,0,0.3370580047570746,0.3370580047570746,0,9.337499999999999,9.599999999999998,0,0.3370580047570746,0.3370580047570746,0,0.2890951275952469,0.2890951275952469,0.18,8,0
3.2,0,0.18,8,0,0,0.4018353046381478,0.4020715546381477,0,9.112499999999999,10.2,0,0.4018353046381478,0.4020715546381477,0,0.3238864994053657,0.3250677494053656,0.18,8,0
3.4,0,0.18,8,0,0,0.4731944220221941,0.474639765772194,0,8.85,10.5,0,0.4731944220221941,0.474639765772194,0,0.3567955869202316,0.3628410556702315,0.18,8,0
3.6,0,0.18,8,0,0,0.5507345614716392,0.5548437716278891,0,8.625,10.125,0,0.5507345614716392,0.5548437716278891,0,0.3877006972472258,0.4010200292784757,0.18,8,0
3.8,0,0.18,8,0,0,0.6340986974348483,0.6421551773371919,0,8.4,9.787499999999996,0,0.6340986974348483,0.6421551773371919,0,0.4168206798160451,0.4365570285465138,0.18,8,0
4,0,0.18,8,0,0,0.7229387299989771,0.7360925479037621,0,8.137500000000001,9.449999999999996,0,0.7229387299989771,0.7360925479037621,0,0.444200162820644,0.4696868528328509,0.18,8,0
4.2,0,0.18,8,0,0,0.8168815117490027,0.836186484206168,0,7.912500000000001,9.112499999999995,0,0.8168815117490027,0.836186484206168,0,0.4697139087501279,0.5004696815120296,0.18,8,0
4.4,0,0.18,8,0,0,0.9155969739552776,0.9419793221010138,0,7.687500000000002,8.774999999999995,0,0.9155969739552776,0.9419793221010138,0,0.4935773110313747,0.5289641894742289,0.18,8,0
4.600000000000001,0,0.18,8,0,0,1.018763299606396,1.053024839048488,0,7.500000000000002,8.474999999999994,0,1.018763299606396,1.053024839048488,0,0.5158316282555904,0.5552275847373731,0.18,8,0
4.800000000000001,0,0.18,8,0,0,1.126100467116236,1.168921718072276,0,7.275000000000002,8.174999999999994,0,1.126100467116236,1.168921718072276,0,0.5366858375492006,0.5794843951189388,0.1799999999999995,7.999999999999959,-2.95530421196106e-16
5,12,0.18,8,0,0,1.23730170543833,1.289278675120469,0.6000000000000001,7.050000000000002,7.874999999999994,-12,-10.76269829456167,-10.71072132487953,0,0.5560061916104706,0.6017847852409652,0.1799999999999991,7.999999999999945,-1.261045937733421e-16
5.2,12,0.18,8,0,0.0005400000000000001,1.352067912802372,1.413714208242457,1.2,6.862500000000002,7.612499999999994,-11.99946,-10.64793208719763,-10.58628579175754,0.002700000000000001,0.5738310368202089,0.622177665609941,0.1799999999999993,7.999999999999955,-1.183548932832712e-16
5.4,12,0.18,8,0,0.0021465,1.470141214982313,1.541890103036396,1.8,6.637500000000003,7.312499999999994,-11.9978535,-10.52985878501769,-10.4581098969636,0.008032500000000001,0.5903665108997036,0.6408794739696925,0.1799999999999993,7.999999999999964,4.870362603523195e-17
5.600000000000001,12,0.18,8,0,0.005332837500000001,1.591236434607755,1.673442850460486,2.4,6.450000000000003,7.049999999999994,-11.9946671625,-10.40876356539225,-10.32655714953951,0.0159316875,0.605476098127211,0.6577637371204501,0.1799999999999999,8.000000000000002,4.548033151217296e-17
5.800000000000001,12,0.18,8,0,0.0105995165625,1.715109273742561,1.808051779198974,3,6.262500000000003,6.787499999999993,-11.9894004834375,-10.28489072625744,-10.19194822080103,0.0263333953125,0.6193641956740308,0.6730446436924389,0.1800000000000005,8.000000000000009,-4.567921776214053e-16
6,12,0.18,8,0,0.0184345286484375,1.841521541898997,1.945404234718999,3.600000000000001,6.075000000000003,6.524999999999993,-11.98156547135156,-10.158478458101,-10.054595765281,0.03917506042968751,0.63206134078218,0.6867622776001279,0.1800000000000004,8,-4.244014595718874e-16
6.2,12,0.18,8,0,0.02931366543222657,1.970241003351522,2.085195378851024,4.200000000000001,5.887500000000003,6.299999999999994,-11.97068633456777,-10.02975899664848,-9.914804621148976,0.05439568391894532,0.6435973072626255,0.6989557206601247,0.1800000000000004,8.000000000000005,-3.933044071705291e-16
6.4,12,0.18,8,0,0.04370082379642091,2.101041228267734,2.227161744379748,4.800000000000001,5.700000000000003,6.037499999999993,-11.95629917620358,-9.898958771732266,-9.772838255620252,0.07193579182097168,0.65400112458106,0.7098318276436215,0.1799999999999999,8,-1.080348203471328e-17
6.600000000000001,12,0.18,8,0,0.06204830320151039,2.233701447561041,2.371012700770255,5.4,5.550000000000002,5.812499999999993,-11.93795169679849,-9.766298552438959,-9.628987299229745,0.09173739702544739,0.6633010964665335,0.7192547819525309,0.1800000000000003,8.000000000000025,-9.960810436005649e-18
6.800000000000001,12,0.18,8,0,0.08479709562147264,2.368040161372015,2.516498633250998,6,5.362500000000002,5.587499999999993,-11.91520290437853,-9.631959838627985,-9.483501366749001,0.1137439620998112,0.6716935690548701,0.7274296624037176,0.1800000000000004,8.00000000000003,-9.160323488239376e-18
7,12,0.18,8,0,0.1123771682309358,2.503846657337714,2.663376167419723,6.6,5.175000000000002,5.399999999999993,-11.88762283176906,-9.496153342662286,-9.336623832580276,0.1379003630473159,0.6790324798284983,0.7343876708436247,0.1800000000000001,8.000000000000036,3.635203610777674e-16
7.2,12,0.18,8,0,0.1452077390251624,2.640915490904272,2.81144176323423,7.199999999999999,5.025000000000002,5.174999999999994,-11.85479226097484,-9.359084509095728,-9.18855823676577,0.164152853971133,0.6853441678327858,0.740327979072534,0.1799999999999992,8.000000000000028,1.089341068777872e-15
7.4,12,0.18,8,0,0.1836975455495334,2.779080103631665,2.960463219153374,7.799999999999999,4.875000000000002,4.987499999999994,-11.81630245445047,-9.220919896368335,-9.039536780846626,0.1924490326218547,0.6908230636369662,0.7451072795957207,0.1800000000000003,8.000000000000041,2.249004618401128e-16
7.600000000000001,12,0.18,8,0,0.2282451069107951,2.918178101040874,3.110247888674539,8.399999999999999,4.725000000000001,4.762499999999994,-11.77175489308921,-9.081821898959127,-8.889752111325461,0.2227378068063083,0.695489987046042,0.7489233476058276,0.1799999999999993,8.000000000000034,9.862485442616868e-16
7.800000000000001,12,0.18,8,0,0.2792389792380252,3.058051148514852,3.260574191457676,8.999999999999998,4.575000000000001,4.574999999999994,-11.72076102076197,-8.941948851485147,-8.739425808542324,0.2549693616361506,0.699365237369891,0.7516315139156818,0.1799999999999986,8.000000000000007,1.291943314689657e-15
8,12,0.18,8,0,0.3370580047570746,3.198544869801981,3.411259836671234,9.599999999999998,4.425000000000001,4.387499999999994,-11.66294199524292,-8.801455130198018,-8.588740163328765,0.2890951275952469,0.7024686064356437,0.7534282260677898,0.1799999999999989,8.000000000000016,1.169795946755362e-15
8.200000000000001,12,0.18,8,0,0.4020715546381477,3.339508748056931,3.562127090754453,10.2,4.275,4.237499999999994,-11.59792844536185,-8.660491251943068,-8.437872909245547,0.3250677494053656,0.7048193912747526,0.7543362704160951,0.1799999999999997,8.000000000000071,1.056432085006161e-15
8.4,12,0.18,8,0,0.474639765772194,3.480796029355508,3.713036413485592,10.8,4.125,4.049999999999994,-11.52536023422781,-8.519203970644492,-8.286963586514409,0.3628410556702315,0.7064364064928838,0.7545466136556926,0.1800000000000021,8.000000000000133,-2.88596665664196e-16
8.6,12,0.18,8,0,0.5551137716278891,3.62226362862162,3.863818003148452,11.4,3.975,3.899999999999993,-11.44488622837211,-8.377736371378379,-8.136181996851548,0.4023700292784757,0.7073379963305616,0.7539079483143003,0.1800000000000039,8.000000000000158,-1.515097936699492e-15
8.800000000000001,12,0.18,8,0,0.6438359273371919,3.76377203790608,4.01434005306974,12,3.862499999999999,3.712499999999993,-11.35616407266281,-8.23622796209392,-7.98565994693026,0.4436107785465138,0.7075420464222976,0.7526102496064427,0.1800000000000024,8.00000000000013,-5.10059729835763e-16
9,12,0.18,8,0,0.741140029153762,3.905218986958428,4.164440301742997,12,3.712499999999999,3.562499999999993,-11.25885997084624,-8.094781013041572,-7.835559698257003,0.4865205090828509,0.7072347452617401,0.7505012433662817,0.1800000000000026,8.000000000000146,-4.558079222077773e-16
9.200000000000001,12,0.18,8,0,0.8468115284249179,4.046471012284467,4.313994294199421,12,3.6,3.412499999999993,-11.15318847157508,-7.953528987715533,-7.686005705800579,0.5283574963557797,0.7062601266301967,0.7477699622821246,0.1800000000000039,8.000000000000174,-1.272192821949781e-15
9.4,12,0.18,8,0,0.960641240214295,4.187431736977356,4.462880686844436,12,3.449999999999999,3.262499999999992,-11.0393587597857,-7.812568263022644,-7.537119313155564,0.5691485589468852,0.7048036234644417,0.7444319632250714,0.1800000000000033,8.000000000000185,-6.936128352145439e-16
9.600000000000001,12,0.18,8,0,1.082425209208937,4.327973443552922,4.610981169673325,12,3.337499999999999,3.149999999999992,-10.91757479079106,-7.672026556447078,-7.389018830326675,0.6089198449732131,0.7027085328778306,0.7405024141444446,0.1800000000000051,8.00000000000025,-1.49740164733512e-15
9.800000000000001,12,0.18,8,0,1.211964578978714,4.468005357464099,4.758214140431492,12,3.224999999999999,2.999999999999992,-10.78803542102129,-7.531994642535901,-7.241785859568508,0.6476968488488828,0.7001595695558849,0.7361648537908335,0.1800000000000054,8.000000000000245,-1.769117292096189e-15
10,12,0.18,8,0,1.349065464504246,4.607438973527497,4.904466286920704,12,3.112499999999999,2.849999999999993,-10.65093453549575,-7.392561026472503,-7.095533713079296,0.6855044276276607,0.6971680803169877,0.7312607324460626,0.1800000000000043,8.000000000000181,-1.560039793939367e-15
10.2,12,0.18,8,0,1.49353882789164,4.74618799918931,5.049627129747686,12,3,2.737499999999993,-10.50646117210836,-7.25381200081069,-6.950372870252314,0.7223668169369692,0.693745128309063,0.725804214134911,0.1800000000000037,8.000000000000149,-1.371984087869949e-15
10.4,12,0.18,8,0,1.645200357194349,4.884168299209577,5.193622701503994,12,2.8875,2.624999999999993,-10.35479964280565,-7.115831700790423,-6.806377298496006,0.758307646513545,0.6899015001013364,0.7199778587815382,0.1800000000000085,8.000000000000282,-3.93123737127037e-15
10.6,12,0.18,8,0,1.80387034826449,5.021297841729337,5.336380883966394,12,2.775,2.512499999999993,-10.19612965173551,-6.978702158270663,-6.663619116033606,0.7933499553507064,0.685647712598803,0.7137909123119998,0.1800000000000073,8.000000000000233,-3.438760544214863e-15
10.8,12,0.18,8,0,1.969373589557878,5.157496645686104,5.477831361867233,12,2.7,2.399999999999993,-10.03062641044212,-6.842503354313896,-6.522168638132767,0.8275162064669388,0.6809940197838329,0.7072523895041998,0.180000000000007,8.000000000000261,-2.999849652935075e-15
11,12,0.18,8,0,2.141539249818931,5.292720479543951,5.617905577820552,12,2.5875,2.287499999999993,-9.858460750181068,-6.707279520456049,-6.382094422179448,0.8608283013052653,0.6761191692892371,0.7003710797665947,0.1800000000000042,8.000000000000156,-1.686559151013923e-15
11.2,12,0.18,8,0,2.320200768573458,5.426892467555352,5.756536688375038,12,2.475,2.174999999999994,-9.679799231426543,-6.573107532444648,-6.243463311624962,0.8933075937726337,0.6708599400570062,0.6931555527724298,0.1800000000000039,8.000000000000163,-1.463320048843353e-15
11.4,12,0.18,8,0,2.505195749359121,5.559937655866468,5.893659521165661,12,2.4,2.062499999999994,-9.494804250640879,-6.440062344133532,-6.106340478834339,0.9249749039283178,0.665225941555581,0.685614163953119,0.180000000000003,8.000000000000098,-1.266170929535549e-15
11.6,12,0.18,8,0,2.696365855625143,5.691816714469807,6.02921053313652,12,2.2875,1.949999999999994,-9.303634144374858,-6.308183285530193,-5.97078946686348,0.9558505313301099,0.6593952930166915,0.6777550598542911,0.1800000000000083,8.000000000000249,-3.885373969758485e-15
11.8,12,0.18,8,0,2.893556709234515,5.822457546608062,6.163127769808106,12,2.2125,1.874999999999994,-9.106443290765485,-6.177542453391938,-5.836872230191894,0.9859542680468572,0.6532041606912743,0.6695861833579337,0.1800000000000091,8.000000000000288,-4.275337537137803e-15
12,12,0.18,8,0,3.096617791503652,5.951823607942861,6.295384575562903,12,2.1375,1.799999999999993,-8.903382208496348,-6.048176392057139,-5.704615424437097,1.015305411345686,0.6468303066739924,0.6612840287739854,0.1800000000000117,8.000000000000377,-5.533452833582681e-15
12.2,12,0.18,8,0,3.305402346716061,6.079879267744289,6.42595496117383,12,2.025,1.687499999999993,-8.694597653283939,-5.920120732255711,-5.57404503882617,1.043922776062044,0.6402782990071426,0.6528519280546358,0.1800000000000102,8.000000000000332,-4.735629543213396e-15
12.4,12,0.18,8,0,3.519767288048159,6.206556036050682,6.554779837144484,11.79425326409153,1.95,1.612499999999993,-8.480232711951841,-5.793443963949318,-5.445220162855516,1.071824706660492,0.633383841531964,0.6441243798532699,0.1800000000000111,8.000000000000387,-4.972683649228609e-15
12.6,12,0.18,8,0,3.739387933784638,6.331820885149415,6.681835341215872,11.4838767730464,1.875,1.537499999999993,-8.260612066215362,-5.668179114850585,-5.318164658784128,1.098103228682392,0.6263242454936649,0.6352775203569381,0.1800000000000157,8.000000000000567,-7.020302891767061e-15
12.8,12,0.18,8,0,3.963853552473446,6.45564161302068,6.807098207685475,11.17244660907865,1.8,1.462499999999993,-8.036146447526555,-5.54435838697932,-5.192901792314525,1.122328093444041,0.6191036393563233,0.6263143323480146,0.1800000000000152,8.000000000000517,-6.885393866488064e-15
13,12,0.18,8,0,4.192762732643205,6.577986822695163,6.930545752493337,10.86032187559297,1.724999999999999,1.387499999999993,-7.807237267356795,-5.422013177304837,-5.069454247506663,1.144545900848794,0.6117260483724152,0.6172377240393142,0.1800000000000094,8.000000000000366,-3.979297814841685e-15
13.2,12,0.18,8,0,4.425723472996753,6.698825902127783,7.052155858681004,10.5478498621647,1.649999999999999,1.312499999999993,-7.574276527003247,-5.301174097872217,-4.947844141318996,1.164803701767742,0.6041953971631048,0.6080505309383313,0.180000000000008,8.000000000000302,-3.358527355726382e-15
13.4,12,0.18,8,0,4.662353259717412,6.818129004574589,7.171906962213979,10.23536609739774,1.574999999999999,1.237499999999993,-7.337646740282588,-5.181870995425411,-4.828093037786021,1.18314893360329,0.5965155122340271,0.598755517664873,0.180000000000005,8.000000000000231,-1.910477399560584e-15
13.6,12,0.18,8,0,4.902279131257711,6.935867029460224,7.289778038158629,9.923194412110337,1.537499999999999,1.162499999999993,-7.097720868742289,-5.064132970539776,-4.710221961841371,1.199629357701497,0.5886901244281764,0.5893553797232511,0.1800000000000042,8.00000000000021,-1.603411577522119e-15
13.8,12,0.18,8,0,5.145137730980403,7.052045353723718,7.405748587204664,9.611647012422932,1.462499999999999,1.087499999999993,-6.854862269019597,-4.947954646276282,-4.594251412795336,1.214292998613457,0.580891621317472,0.5798527452301698,0.1800000000000018,8.000000000000153,-4.364978639462267e-16
14,12,0.18,8,0,5.390575348021208,7.166635469880625,7.519798622524546,9.301024562326759,1.387499999999999,1.049999999999993,-6.609424651978792,-4.833364530119375,-4.480201377475454,1.227188085204023,0.5729505807845352,0.5702501765994156,0.1800000000000058,8.000000000000304,-2.162184255518607e-15
14.2,12,0.18,8,0,5.638247946742086,7.27960958313361,7.631942406961432,8.991616275316936,1.312499999999999,0.974999999999993,-6.361752053257914,-4.72039041686639,-4.368057593038568,1.238362993604393,0.5648705662649218,0.5607189221844302,0.1799999999999987,8.000000000000025,8.771416567380787e-16
14.4,12,0.18,8,0,5.887821185142728,7.390940593555269,7.742160096787396,8.6837000146788,1.274999999999999,0.937499999999993,-6.112178814857272,-4.609059406444731,-4.257839903212604,1.247866192003209,0.5566550521082988,0.5510884491298195,0.1800000000000088,8.000000000000352,-3.69534392009541e-15
14.6,12,0.18,8,0,6.138970422596565,7.500635828716388,7.850466094367711,8.377542402021746,1.199999999999999,0.8624999999999929,-5.861029577403435,-4.499364171283612,-4.149533905632289,1.255746187269184,0.5484761758055913,0.5415299879015739,0.1800000000000092,8.000000000000357,-3.934505478922892e-15
14.8,12,0.18,8,0,6.391380717275876,7.608668682998478,7.956840692008518,8.073398933660329,1.162499999999999,0.824999999999993,-5.608619282724124,-4.391331317001522,-4.043159307991482,1.262051473396552,0.5401642714104515,0.5318729882040345,0.1800000000000099,8.000000000000393,-4.114534365644213e-15
15,12,0.18,8,0,6.644746813628498,7.715046965923516,8.061298424708305,7.771514104448386,1.087499999999999,0.7499999999999929,-5.355253186371502,-4.284953034076484,-3.938701575291695,1.26683048176311,0.5318914146251903,0.5222886634989337,0.1800000000000101,8.000000000000391,-4.2444366165702e-15
15.2,12,0.18,8,0,6.898773120266307,7.819744541775428,8.163819714090597,7.472121538677837,1.049999999999999,0.7124999999999929,-5.101226879733693,-4.180255458224572,-3.836180285909403,1.27013153318905,0.5234878792595605,0.5126064469114603,0.1800000000000047,8.000000000000206,-1.782543523865727e-15
