minute,air_C,product_C,compressor_duty,door_heat,load_heat,ambient_C,mode
0,5.15000,5.05000,0.07500,0.00000,0.00000,17.34653,2
1,5.17195,5.05040,0.07548,0.00000,0.00000,17.35821,2
2,5.19361,5.05089,0.08627,0.00000,0.00000,17.31631,2
3,5.21402,5.05146,0.09668,0.00000,0.00000,17.64079,2
4,5.23411,5.05211,0.10723,0.00000,0.00000,17.88073,2
5,5.25366,5.05284,0.11774,0.00000,0.00000,17.49539,2
6,5.27120,5.05364,0.12748,0.00000,0.00000,17.33685,2
7,5.28737,5.05451,0.13687,0.00000,0.00000,17.40034,2
8,5.30273,5.05544,0.14613,0.00000,0.00000,17.35132,2
9,5.31704,5.05643,0.15509,0.00000,0.00000,18.11247,2
10,5.33226,5.05747,0.16473,0.00000,0.00000,17.59831,2
11,5.34530,5.05857,0.17335,0.00000,0.00000,17.46586,2
12,5.35718,5.05972,0.18170,0.00000,0.00000,16.88946,2
13,5.36687,5.06091,0.18916,0.00000,0.00000,17.42904,2
14,5.37713,5.06213,0.19719,0.00000,0.00000,18.00473,2
15,5.38799,5.06339,0.20557,0.00000,0.00000,17.68224,2
16,5.39729,5.06469,0.21323,0.00000,0.00000,17.03920,2
17,5.40434,5.06602,0.21998,0.00000,0.00000,18.11846,2
18,5.41333,5.06737,0.22796,0.00000,0.00000,18.12664,2
19,5.42160,5.06876,0.23551,0.00000,0.00000,17.47927,2
20,5.42764,5.07017,0.24208,0.00000,0.00000,16.95972,2
21,5.43184,5.07160,0.24798,0.00000,0.00000,17.13496,2
22,5.43595,5.07304,0.25401,0.00000,0.00000,17.55352,2
23,5.44054,5.07449,0.26034,0.00000,0.00000,17.03676,2
24,5.44334,5.07596,0.26578,0.00000,0.00000,17.51972,2
25,5.44684,5.07743,0.27174,0.00000,0.00000,17.22940,2
26,5.44914,5.07890,0.27707,0.00000,0.00000,17.68495,2
27,5.45208,5.08038,0.28285,0.00000,0.00000,17.37596,2
28,5.45380,5.08187,0.28800,0.00000,0.00000,17.68631,2
29,5.45585,5.08336,0.29342,0.00000,0.00000,17.39180,2
30,5.45674,5.08485,0.29826,0.00000,0.00000,17.62209,2
31,5.45781,5.08634,0.30329,0.00000,0.00000,17.13742,2
32,5.45731,5.08782,0.30754,0.00000,0.00000,17.55230,2
33,5.45749,5.08930,0.31224,0.00000,0.00000,16.85340,2
34,5.45564,5.09077,0.31588,0.00000,0.00000,17.34937,2
35,5.45473,5.09223,0.32012,0.00000,0.00000,17.55321,2
36,5.45398,5.09368,0.32437,0.00000,0.00000,17.20193,2
37,5.45209,5.09512,0.32802,0.00000,0.00000,17.48404,2
38,5.45061,5.09655,0.33196,0.00000,0.00000,17.92379,2
39,5.44991,5.09797,0.33623,0.00000,0.00000,17.17500,2
40,5.44710,5.09938,0.33938,0.00000,0.00000,17.51895,2
41,5.44491,5.10077,0.34298,0.00000,0.00000,17.83680,2
42,5.44324,5.10214,0.34677,0.00000,0.00000,17.98089,2
43,5.44164,5.10351,0.35054,0.00000,0.00000,17.17815,2
44,5.43786,5.10486,0.35319,0.00000,0.00000,17.37312,2
45,5.43441,5.10619,0.35615,0.00000,0.00000,17.53887,2
46,5.43117,5.10750,0.35915,0.00000,0.00000,17.44132,2
47,5.42751,5.10880,0.36189,0.00000,0.00000,17.05998,2
48,5.42279,5.11007,0.36410,0.00000,0.00000,17.31241,2
49,5.41858,5.11132,0.36659,0.00000,0.00000,17.95636,2
50,5.41576,5.11255,0.36971,0.00000,0.00000,17.24347,2
51,5.41105,5.11377,0.37174,0.00000,0.00000,17.35649,2
52,5.40652,5.11496,0.37396,0.00000,0.00000,17.34897,2
53,5.40187,5.11612,0.37606,0.00000,0.00000,17.58513,2
54,5.39769,5.11726,0.37836,0.00000,0.00000,16.71207,2
55,5.39131,5.11839,0.37948,0.00000,0.00000,17.49400,2
56,5.38680,5.11948,0.38165,0.00000,0.00000,16.97812,2
57,5.38096,5.12055,0.38296,0.00000,0.00000,17.96371,2
58,5.37745,5.12159,0.38548,0.00000,0.00000,18.10502,2
59,5.37414,5.12261,0.38788,0.00000,0.00000,17.11372,2
60,5.36832,5.12362,0.38898,0.00000,0.00000,17.78656,2
61,5.36411,5.12460,0.39102,0.00000,0.00000,17.58344,2
62,5.35932,5.12556,0.39261,0.00000,0.00000,17.10604,2
63,5.35334,5.12649,0.39359,0.00000,0.00000,17.79767,2
64,5.34901,5.12740,0.39544,0.00000,0.00000,17.24972,2
65,5.34331,5.12828,0.39642,0.00000,0.00000,16.99752,2
66,5.33700,5.12914,0.39716,0.00000,0.00000,17.50465,2
67,5.33194,5.12998,0.39851,0.00000,0.00000,17.61373,2
68,5.32711,5.13078,0.39981,0.00000,0.00000,17.25156,2
69,5.32138,5.13157,0.40061,0.00000,0.00000,17.46954,2
70,5.31619,5.13233,0.40168,0.00000,0.00000,17.04759,2
71,5.30999,5.13306,0.40216,0.00000,0.00000,17.61345,2
72,5.30519,5.13377,0.40336,0.00000,0.00000,17.97107,2
73,5.30121,5.13446,0.40480,0.00000,0.00000,18.02327,2
74,5.29731,5.13512,0.40618,0.00000,0.00000,17.54048,2
75,5.29220,5.13577,0.40691,0.00000,0.00000,17.99264,2
76,5.28819,5.13640,0.40824,0.00000,0.00000,17.44553,2
77,5.28282,5.13701,0.40876,0.00000,0.00000,17.38507,2
78,5.27735,5.13759,0.40928,0.00000,0.00000,17.53236,2
79,5.27227,5.13815,0.40995,0.00000,0.00000,17.01873,2
80,5.26598,5.13868,0.40994,0.00000,0.00000,17.22869,2
81,5.26029,5.13919,0.41025,0.00000,0.00000,18.31466,2
82,5.25723,5.13968,0.41178,0.00000,0.00000,17.20582,2
83,5.25146,5.14015,0.41171,0.00000,0.00000,17.37697,2
84,5.24619,5.14059,0.41205,0.00000,0.00000,17.16708,2
85,5.24046,5.14102,0.41207,0.00000,0.00000,17.69096,2
86,5.23605,5.14141,0.41273,0.00000,0.00000,16.88767,2
87,5.22975,5.14179,0.41229,0.00000,0.00000,17.07430,2
88,5.22401,5.14214,0.41223,0.00000,0.00000,17.48261,2
89,5.21933,5.14247,0.41258,0.00000,0.00000,17.88575,2
90,5.21565,5.14278,0.41331,0.00000,0.00000,18.11702,2
91,5.21251,5.14307,0.41419,0.00000,0.00000,17.43142,2
92,5.20771,5.14335,0.41417,0.00000,0.00000,17.72548,2
93,5.20368,5.14361,0.41462,0.00000,0.00000,18.13041,2
94,5.20064,5.14385,0.41545,0.00000,0.00000,17.38449,2
95,5.19579,5.14407,0.41528,0.00000,0.00000,17.66382,2
96,5.19169,5.14428,0.41558,0.00000,0.00000,16.98002,2
97,5.18600,5.14447,0.41497,0.00000,0.00000,17.51119,2
98,5.18169,5.14464,0.41514,0.00000,0.00000,17.13721,2
99,5.17655,5.14478,0.41473,0.00000,0.00000,17.25407,2
100,5.17178,5.14491,0.41452,0.00000,0.00000,17.61492,2
101,5.16795,5.14502,0.41470,0.00000,0.00000,17.79253,2
102,5.16459,5.14511,0.41501,0.00000,0.00000,17.24944,2
103,5.15995,5.14519,0.41460,0.00000,0.00000,16.98916,2
104,5.15478,5.14525,0.41399,0.00000,0.00000,17.62879,2
105,5.15126,5.14529,0.41419,0.00000,0.00000,16.91604,2
106,5.14607,5.14531,0.41339,0.00000,0.00000,17.06803,2
107,5.14138,5.14531,0.41292,0.00000,0.00000,17.46921,2
108,5.13774,5.14530,0.41289,0.00000,0.00000,17.26151,2
109,5.13366,5.14527,0.41252,0.00000,0.00000,17.93085,2
110,5.13125,5.14522,0.41298,0.00000,0.00000,17.40596,2
111,5.12759,5.14516,0.41265,0.00000,0.00000,17.38381,2
112,5.12395,5.14509,0.41240,0.00000,0.00000,17.36012,2
113,5.12032,5.14501,0.41212,0.00000,0.00000,17.55406,2
114,5.11722,5.14491,0.41206,0.00000,0.00000,17.38473,2
115,5.11377,5.14480,0.41175,0.00000,0.00000,17.06771,2
116,5.10963,5.14468,0.41110,0.00000,0.00000,17.31976,2
117,5.10619,5.14454,0.41081,0.00000,0.00000,17.47111,2
118,5.10318,5.14438,0.41064,0.00000,0.00000,17.49668,2
119,5.10029,5.14422,0.41047,0.00000,0.00000,17.81523,2
120,5.09820,5.14404,0.41066,0.00000,0.00000,17.56333,2
121,5.09553,5.14386,0.41047,0.00000,0.00000,17.58961,2
122,5.09296,5.14366,0.41036,0.00000,0.00000,17.79697,2
123,5.09093,5.14346,0.41048,0.00000,0.00000,17.77402,2
124,5.08886,5.14325,0.41051,0.00000,0.00000,17.48856,2
125,5.08614,5.14303,0.41020,0.00000,0.00000,17.64951,2
126,5.08385,5.14281,0.41014,0.00000,0.00000,17.42893,2
127,5.08108,5.14257,0.40977,0.00000,0.00000,17.98811,2
128,5.07969,5.14232,0.41011,0.00000,0.00000,17.92166,2
129,5.07814,5.14207,0.41025,0.00000,0.00000,17.93821,2
130,5.07664,5.14182,0.41040,0.00000,0.00000,17.39456,2
131,5.07384,5.14156,0.40989,0.00000,0.00000,17.69069,2
132,5.07183,5.14129,0.40984,0.00000,0.00000,18.03245,2
133,5.07065,5.14101,0.41014,0.00000,0.00000,17.36992,2
134,5.06789,5.14073,0.40955,0.00000,0.00000,17.69349,2
135,5.06598,5.14044,0.40950,0.00000,0.00000,17.86567,2
136,5.06450,5.14014,0.40957,0.00000,0.00000,17.89317,2
137,5.06310,5.13984,0.40964,0.00000,0.00000,17.38506,2
138,5.06050,5.13953,0.40908,0.00000,0.00000,17.65554,2
139,5.05863,5.13921,0.40895,0.00000,0.00000,17.98491,2
140,5.05756,5.13889,0.40916,0.00000,0.00000,17.83342,2
141,5.05613,5.13857,0.40910,0.00000,0.00000,18.16757,2
142,5.05552,5.13824,0.40947,0.00000,0.00000,17.35311,2
143,5.05294,5.13790,0.40879,0.00000,0.00000,17.71612,2
144,5.05131,5.13756,0.40871,0.00000,0.00000,17.83173,2
145,5.04998,5.13722,0.40869,0.00000,0.00000,17.30652,2
146,5.04742,5.13687,0.40801,0.00000,0.00000,17.87817,2
147,5.04630,5.13651,0.40813,0.00000,0.00000,17.78733,2
148,5.04496,5.13615,0.40802,0.00000,0.00000,18.00797,2
149,5.04418,5.13579,0.40818,0.00000,0.00000,17.46079,2
150,5.04208,5.13542,0.40764,0.00000,0.00000,17.74527,2
151,5.04073,5.13505,0.40755,0.00000,0.00000,17.88879,2
152,5.03974,5.13467,0.40757,0.00000,0.00000,17.69969,2
