minute,door_heat,load_heat,ambient_C,capacity,sensor_bias_C
0,0.00000,0.00000,17.34653,1.00000,0.00000
1,0.00000,0.00000,17.35821,1.00000,0.00000
2,0.00000,0.00000,17.31631,1.00000,0.00000
3,0.00000,0.00000,17.64079,1.00000,0.00000
4,0.00000,0.00000,17.88073,1.00000,0.00000
5,0.00000,0.00000,17.49539,1.00000,0.00000
6,0.00000,0.00000,17.33685,1.00000,0.00000
7,0.00000,0.00000,17.40034,1.00000,0.00000
8,0.00000,0.00000,17.35132,1.00000,0.00000
9,0.00000,0.00000,18.11247,1.00000,0.00000
10,0.00000,0.00000,17.59831,1.00000,0.00000
11,0.00000,0.00000,17.46586,1.00000,0.00000
12,0.00000,0.00000,16.88946,1.00000,0.00000
13,0.00000,0.00000,17.42904,1.00000,0.00000
14,0.00000,0.00000,18.00473,1.00000,0.00000
15,0.00000,0.00000,17.68224,1.00000,0.00000
16,0.00000,0.00000,17.03920,1.00000,0.00000
17,0.00000,0.00000,18.11846,1.00000,0.00000
18,0.00000,0.00000,18.12664,1.00000,0.00000
19,0.00000,0.00000,17.47927,1.00000,0.00000
20,0.00000,0.00000,16.95972,1.00000,0.00000
21,0.00000,0.00000,17.13496,1.00000,0.00000
22,0.00000,0.00000,17.55352,1.00000,0.00000
23,0.00000,0.00000,17.03676,1.00000,0.00000
24,0.00000,0.00000,17.51972,1.00000,0.00000
25,0.00000,0.00000,17.22940,1.00000,0.00000
26,0.00000,0.00000,17.68495,1.00000,0.00000
27,0.00000,0.00000,17.37596,1.00000,0.00000
28,0.00000,0.00000,17.68631,1.00000,0.00000
29,0.00000,0.00000,17.39180,1.00000,0.00000
30,0.00000,0.00000,17.62209,1.00000,0.00000
31,0.00000,0.00000,17.13742,1.00000,0.00000
32,0.00000,0.00000,17.55230,1.00000,0.00000
33,0.00000,0.00000,16.85340,1.00000,0.00000
34,0.00000,0.00000,17.34937,1.00000,0.00000
35,0.00000,0.00000,17.55321,1.00000,0.00000
36,0.00000,0.00000,17.20193,1.00000,0.00000
37,0.00000,0.00000,17.48404,1.00000,0.00000
38,0.00000,0.00000,17.92379,1.00000,0.00000
39,0.00000,0.00000,17.17500,1.00000,0.00000
40,0.00000,0.00000,17.51895,1.00000,0.00000
41,0.00000,0.00000,17.83680,1.00000,0.00000
42,0.00000,0.00000,17.98089,1.00000,0.00000
43,0.00000,0.00000,17.17815,1.00000,0.00000
44,0.00000,0.00000,17.37312,1.00000,0.00000
45,0.00000,0.00000,17.53887,1.00000,0.00000
46,0.00000,0.00000,17.44132,1.00000,0.00000
47,0.00000,0.00000,17.05998,1.00000,0.00000
